region_id,visual_id,region_label,x,y,w,h,assertion_id,evidence_stance,note
QH-IR-0001,QH-V-E04C,碑文正文,0.08,0.10,0.84,0.70,QH-A-KX-0002,支持,康熙御书《兰亭序》临写系统；碑文全文以原石为准
QH-IR-0002,QH-V-E04D,朱批区,0.05,0.02,0.90,0.12,QH-A-KX-0001,支持,奏折朱批区；常见朱批形态包括「览」「知道了」及具体指示
QH-IR-0003,QH-V-E04D,奏折正文,0.05,0.15,0.90,0.75,QH-A-KX-0004,支持,臣工奏报正文；黑字为臣工所书
QH-IR-0004,QH-V-E05C,朱批谕旨,0.05,0.05,0.90,0.15,QH-A-YZ-0001,支持,雍正朱批谕旨刻本选编；朱批为皇帝亲笔
QH-IR-0005,QH-V-E06E,碑文正文,0.08,0.10,0.84,0.70,QH-A-KX-0003,支持,乾隆御书《兰亭序》；与康熙碑为同一临写系统不同时期
QH-IR-0006,QH-V-E04,面部,0.43,0.165,0.14,0.095,,,面部描绘；朝服像定名依馆藏目录，不是面部识别结果
QH-IR-0007,QH-V-E04H,朱批区,0.073,0.03,0.145,0.82,,,红笔朱批「知道了西洋漢人内若有這樣學問或行醫者汝尋訪送京中」
QH-IR-0008,QH-V-E04H,奏折正文,0.46,0.03,0.52,0.82,,,杨琳等黑字奏报正文；黑字为臣工所书
QH-IR-0009,QH-V-E04H,日期具名,0.05,0.28,0.035,0.57,,,康熙伍拾柒年柒月拾陸日 奴才楊琳
QH-IR-0010,QH-V-E07B,朱批区,0.01,0.08,0.39,0.90,,,红笔朱批「覽卿奏深愜朕懷」等；嘉庆亲笔
QH-IR-0011,QH-V-E07B,奏折正文,0.42,0.08,0.57,0.90,,,陕甘总督长龄黑字奏报；嘉庆二十五年十二月二十六日
QH-IR-0012,QH-V-E05I,朱批区,0.06,0.05,0.14,0.9,,,红笔雍正亲笔朱批
QH-IR-0013,QH-V-E05I,奏折正文,0.21,0.05,0.76,0.9,,,马会伯黑字奏报
QH-IR-0014,QH-V-E06L,引谕列,0.0,0.08,0.06,0.9,,,「旨敬謹辦理」起列；引收谕，非本件朱批
QH-IR-0015,QH-V-E06L,引谕列二,0.61,0.10,0.05,0.55,,,「旨一併發交到」引谕
