Assertion ID,主张类型,主体 ID,谓词/关系,客体 ID 或值,原始时间表达,公历下界,公历上界,确定性,状态,来源实体 ID,卷页/档号/图像定位,支持引文,证据立场,证据直接性,证据强度,来源家族 ID,冲突组 ID,获取方式,录入人,复核人,复核日期,编辑备注
QH-A-QL-0001,事件发生,QH-P-000054,accession_occurred,即皇帝位,嘉庆元年正月戊申朔,1796-02-09,1796-02-09,不确定,审核中,QH-SU-QL-QSG-0015B,卷15；嘉庆元年正月戊申朔,嘉慶元年正月戊申朔，舉行授受大典，立皇太子為皇帝,支持,明确记载,中,QH-SF-QSG,QH-CF-QL-JQ-ABDICATION-GANZHI,结构化导入,AI,,,卷15作戊申，卷16作戊辰；两卷均指正月朔同一授受大典。公历依通行年表，待历法库复核。
QH-A-QL-0002,称号授予,QH-P-000019,honored_as,太上皇帝,嘉庆元年正月戊申朔,1796-02-09,1796-02-09,确定,审核中,QH-SU-QL-QSG-0015B,卷15；授受大典,尊上為太上皇帝,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,证明卷15的称号记载，不推定实际权力已完全移交。
QH-A-QL-0003,文字或数值陈述,QH-P-000019,reported_in_edict,军国重务仍奏闻，秉训裁决，大事降旨敕,嘉庆元年正月戊申朔,1796-02-09,1796-02-09,确定,审核中,QH-SU-QL-QSG-0015B,卷15；授受大典,軍國重務仍奏聞，秉訓裁決，大事降旨敕,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,这是后出本纪对训政安排的表述，不等于逐案统计全部决策。
QH-A-QL-0004,文字或数值陈述,QH-P-000019,reported_in_edict,宫中时宪书用乾隆年号,嘉庆元年正月戊申朔,1796-02-09,1796-02-09,确定,审核中,QH-SU-QL-QSG-0015B,卷15；授受大典,宮中時憲書用乾隆年號,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,只证卷15如此记宫中时宪书，不扩写为全国继续用乾隆年号。
QH-A-QL-0005,事件发生,QH-P-000019,died_on,崩，寿八十有九,嘉庆四年正月壬戌,1799-02-07,1799-02-07,确定,审核中,QH-SU-QL-QSG-0015C,卷15；嘉庆四年正月壬戌,四年正月壬戌崩，壽八十有九,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,卷15本纪记载；公历依通行年表，待历法库复核。
QH-A-QL-0006,文字或数值陈述,QH-P-000019,reported_in_edict,归政后奏事书太上皇帝，奏对称太上皇,乾隆六十年十二月,1796-01-01,1796-02-08,约略,审核中,QH-SU-QL-QSG-0015A,卷15；乾隆六十年十二月,朕於明年歸政後，凡有繕奏事件，俱書太上皇帝。其奏對稱太上皇,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,本纪转录上谕；原纪年只到月，公历范围从宽。
QH-A-QL-0007,文字或数值陈述,QH-P-000019,reported_in_edict,停讲解大义觉迷录并缴原书候旨,雍正十三年十月十九日,1735-12-02,1735-12-02,确定,审核中,QH-SU-QL-QSL-0005A,卷5；雍正十三年十月十九日；1/5,大義覺迷錄、著照尚書徐本所請。停其講解。其頒發原書。著該督撫彙送禮部。候朕再降諭旨。,支持,明确记载,强,QH-SF-QSL-QL,,结构化导入,AI,,,停讲、缴书、候旨。不是销毁完成。日期是雍正十三年十月不是乾隆元年。公历依通行年表，待历法库复核。
QH-A-QL-0008,文字或数值陈述,QH-P-000019,reported_in_edict,曾静张熙凌迟处死,雍正十三年十二月十九日,1736-01-31,1736-01-31,确定,审核中,QH-SU-QL-QSL-0009A,卷9；雍正十三年十二月十九日；1/22,曾靜、張熙、著照法司所擬。凌遲處死。,支持,明确记载,强,QH-SF-QSL-QL,QH-CF-QL-ZENGJING-DEATH,结构化导入,AI,,,实录作凌迟处死。本纪作磔于市。不择一。不得写入乾隆元年。公历依通行年表，待历法库复核。
QH-A-QL-0009,文字或数值陈述,QH-P-000019,reported_in_edict,命治曾静张熙罪,雍正十三年十月壬申,1735-11-20,1735-11-20,确定,审核中,QH-SU-QL-QSG-0010A,卷10；雍正十三年十月壬申,命治曾靜、張熙罪。,支持,明确记载,中,QH-SF-QSG,QH-CF-QL-ZENGJING-ZHIZUI,结构化导入,AI,,,后出本纪。实录卷4十月七日七条无此旨。不得改成乾隆元年十月。公历依通行年表，待历法库复核。
QH-A-QL-0010,文字或数值陈述,QH-P-000019,reported_in_edict,磔曾静张熙于市,雍正十三年十二月甲申,1736-01-31,1736-01-31,确定,审核中,QH-SU-QL-QSG-0010B,卷10；雍正十三年十二月甲申,磔曾靜、張熙於巿。,支持,明确记载,中,QH-SF-QSG,QH-CF-QL-ZENGJING-DEATH,结构化导入,AI,,,后出本纪用磔于市。实录同日作凌迟处死。不择一。不得改成乾隆元年。公历依通行年表，待历法库复核。
QH-A-QL-0011,文字或数值陈述,QH-P-000019,reported_in_edict,豁免江南等省漕项芦课学租,雍正十三年十月七日,1735-11-20,1735-11-20,确定,审核中,QH-SU-QL-QSL-0004A,卷4；雍正十三年十月七日；1/7,據果親王密奏、江南等省、漕項蘆課。及學租雜稅等銀。亦係雍正十二年以前之民欠。似可照例豁免。……著全行豁免,支持,明确记载,强,QH-SF-QSL-QL,QH-CF-QL-ZENGJING-ZHIZUI,结构化导入,AI,,,实录壬申第1/7条是免漕项。同日其余六条亦无曾静。本纪同日命治罪见QH-A-QL-0009。不择一。公历依通行年表，待历法库复核。
