person_id,表序,表序标签,收录状态,规范名,公主表用名,异名,父亲ID,生母人物ID,生母候选名,生母来源,封号摘要,下嫁摘要,生薨摘要,额驸事略,证据状态,冲突组 ID,排序键,备注
QH-P-000104,1,圣祖第一女,未封,圣祖第一女（未封）,聖祖第一女,庶妃张氏所出,QH-P-000001,,庶妃张氏,卷166第一女行,未封,,康熙七年十一月生，十年十一月殤,,S二手转述,,01,未封早殇。与第四女同母候选。庶妃张氏尚未建档。
QH-P-000105,2,圣祖第二女,未封,圣祖第二女（未封）,聖祖第二女,端嫔董氏所出,QH-P-000001,,端嫔董氏,卷166第二女行,未封,,康熙十年三月生，十二年二月殤,,S二手转述,,02,未封早殇。端嫔董氏尚未建档。
QH-P-000021,3,圣祖第三女,入序受封,爱新觉罗氏荣宪公主,聖祖第三女,和硕荣宪公主；固伦荣宪公主,QH-P-000001,QH-P-000027,荣妃马佳氏,卷166第三女行,初封和硕荣宪公主，四十八年进封固伦荣宪公主,康熙三十年六月，下嫁乌尔衮,康熙十二年五月生，雍正六年四月薨，年五十六,乌尔衮，博尔济吉特氏，色布腾孙。尚主。康熙四十三年袭巴林郡王。五十八年命从征西陲。六十年卒于军,S二手转述,,03,人物档原有 QH-P-000021，本表沿用，不另编号。四十八年进固伦，不是生下来就是固伦。额驸乌尔衮尚未建档。附载：乌尔衮父鄂齐尔为淑慧长公主所出。
QH-P-000106,4,圣祖第四女,未封,圣祖第四女（未封）,聖祖第四女,庶妃张氏所出,QH-P-000001,,庶妃张氏,卷166第四女行,未封,,康熙十三年二月生，十七年十二月殤,,S二手转述,,04,未封早殇。与第一女同母候选，不合并为一人。
QH-P-000107,5,圣祖第五女,入序受封,爱新觉罗氏端静公主,聖祖第五女,和硕端静公主,QH-P-000001,,贵人兆佳氏,卷166第五女行,和硕端静公主,康熙三十一年十月，下嫁噶尔臧,康熙十三年五月生，四十九年三月薨，年三十七,噶尔臧，乌梁罕氏。尚主，袭喀喇沁杜棱郡王。康熙五十年坐事夺爵。六十一年卒,S二手转述,,05,本表未记进固伦。贵人兆佳氏、额驸噶尔臧尚未建档。
QH-P-000108,6,圣祖第六女,入序受封,爱新觉罗氏恪靖公主,聖祖第六女,和硕公主；和硕恪靖公主；固伦恪靖公主,QH-P-000001,,贵人郭络罗氏,卷166第六女行,初封和硕公主。康熙四十五年封和硕恪靖公主。雍正元年进固伦恪靖公主,康熙三十六年十一月，下嫁敦多布多尔济,康熙十八年五月生，雍正十三年三月薨，年五十七,敦多布多尔济，博尔济吉特氏，袭喀尔喀郡王。尚主，进亲王。四十一年坐事降郡王。雍正元年以军功复进亲王。八年卒,S二手转述,,06,贵人郭络罗氏与宜妃郭络罗氏同姓，后妃传分列，不自动合并。固伦是雍正元年进封，不是康熙朝称号。
QH-P-000109,7,圣祖第七女,未封,圣祖第七女（未封）,聖祖第七女,孝恭所出皇女,QH-P-000001,QH-P-000025,孝恭仁皇后乌雅氏,卷166第七女行,未封,,康熙二十一年六月生，八月殤,,S二手转述,,07,孝恭所出。六月生、八月殇。当时生母位号是德妃，不是皇后。
QH-P-000110,8,圣祖第八女,未封,圣祖第八女（未封）,聖祖第八女,孝懿所出皇女,QH-P-000001,QH-P-000024,孝懿仁皇后佟佳氏,卷166第八女行,未封,,康熙二十二年六月生，閏八月殤,,S二手转述,,08,孝懿所出。生年在佟佳氏册后之前。未封早殇。
QH-P-000111,9,圣祖第九女,入序受封,爱新觉罗氏温宪公主,聖祖第九女,和硕温宪公主；固伦温宪公主,QH-P-000001,QH-P-000025,孝恭仁皇后乌雅氏,卷166第九女行,和硕温宪公主。雍正元年追进固伦温宪公主,康熙三十九年九月，下嫁舜安颜,康熙二十二年九月生，四十一年七月薨，年二十,舜安颜，佟佳氏，佟国维孙。尚主，授额驸。康熙四十八年以党附皇八子允禩削额驸，禁锢，后释之。雍正二年命总理三陵事务，授领侍卫内大臣，卒,S二手转述,,09,雍正元年追进固伦，时人已薨。不得写成生前进固伦。额驸舜安颜尚未建档；表文「党附允禩」不是八爷党已证。同母还有第七、十二女。
QH-P-000112,10,圣祖第十女,入序受封,爱新觉罗氏纯悫公主,聖祖第十女,和硕纯悫公主；固伦纯悫公主,QH-P-000001,,通嫔纳喇氏,卷166第十女行,和硕纯悫公主。雍正十年追进封固伦纯悫公主,康熙四十五年五月，下嫁策棱,康熙二十四年二月生，四十九年三月薨，年二十六,策棱，博尔济吉特氏，有传,S二手转述,,10,通嫔纳喇氏尚未建档。额驸作策棱，是否即超勇亲王策凌，本表不自动合并。附载：主葬京师郊外，策棱合葬。追进固伦在薨后。
