scheme_code,scheme_label,term_code,中文标签,英文标签,定义,上位词,逆关系,是否启用,排序
name_type,名称类型,birth_name,本名,Birth name,出生或早年正式使用的名字,,,true,10
name_type,名称类型,childhood_name,幼名,Childhood name,幼年使用的称呼或名字,,,true,20
name_type,名称类型,taboo_form,避讳前写法,Pre-taboo form,因避讳而改变前的历史写法,,,true,30
name_type,名称类型,post_taboo_form,避讳后写法,Post-taboo form,避讳后形成的写法,,,true,40
name_type,名称类型,temple_name,庙号,Temple name,皇帝或皇后入庙后的庙号,,,true,50
name_type,名称类型,posthumous_name,谥号,Posthumous name,死后追加的谥号,,,true,60
name_type,名称类型,honorific,尊号,Honorific,生前或身后加上的尊号,,,true,70
name_type,名称类型,title_name,位号或爵号式称呼,Title-style name,由妃嫔位号爵位或身份构成的称呼,,,true,80
name_type,名称类型,common_name,现代通称,Common name,现代读者常用但未必是同时代正式名称的称呼,,,true,90
name_type,名称类型,manchu_name,满文名,Manchu name,满文原名或满文形式,,,true,100
name_type,名称类型,transliteration,转写,Transliteration,按明确方案形成的罗马字或汉字转写,,,true,110
name_type,名称类型,variant_graph,异体字,Graphic variant,同一名称的异体或俗体字写法,,,true,120
relationship_type,关系类型,has_biological_father,生父为,Has biological father,主体的生物学父亲是客体,kinship,biological_father_of,true,10
relationship_type,关系类型,biological_father_of,为生父,Biological father of,主体是客体的生物学父亲,kinship,has_biological_father,true,20
relationship_type,关系类型,has_biological_mother,生母为,Has biological mother,主体的生物学母亲是客体,kinship,biological_mother_of,true,30
relationship_type,关系类型,biological_mother_of,为生母,Biological mother of,主体是客体的生物学母亲,kinship,has_biological_mother,true,40
relationship_type,关系类型,has_legal_father,法定父为,Has legal father,礼法或法律身份上的父亲是客体,kinship,legal_father_of,true,50
relationship_type,关系类型,legal_father_of,为法定父,Legal father of,主体是客体礼法或法律身份上的父亲,kinship,has_legal_father,true,60
relationship_type,关系类型,has_legal_mother,嫡母或法定母为,Has legal mother,礼法或法律身份上的母亲是客体,kinship,legal_mother_of,true,70
relationship_type,关系类型,legal_mother_of,为嫡母或法定母,Legal mother of,主体是客体礼法或法律身份上的母亲,kinship,has_legal_mother,true,80
