Assertion ID,主张类型,主体 ID,谓词/关系,客体 ID 或值,原始时间表达,公历下界,公历上界,确定性,状态,来源实体 ID,卷页/档号/图像定位,支持引文,证据立场,证据直接性,证据强度,来源家族 ID,冲突组 ID,获取方式,录入人,复核人,复核日期,编辑备注
QH-A-NH-0001,事件发生,QH-P-000051,titled_as,有甲十三,明万历十一年癸未,1583-01-01,1583-12-31,确定,审核中,QH-SU-NH-QSG-0001A,卷1；万历十一年癸未,太祖既歸，有甲十三。……是歲癸未，明萬曆十一年也，太祖年二十五。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,后出本纪。甲十三是本纪用字，不得写成已核件数或建国神话。公历只用年窗，待历法库。
QH-A-NH-0002,事件发生,QH-P-000051,accession_occurred,建元天命定国号曰金,天命元年正月壬申朔,1616-02-17,1616-02-17,确定,审核中,QH-SU-NH-QSG-0001B,卷1；天命元年正月壬申朔,上卽位，建元天命，定國號曰金。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,本纪国号作金。不得写成大清，也不得写成称帝。公历依通行年表，待历法库复核。
QH-A-NH-0003,事件发生,QH-P-000051,titled_as,以七大恨告天,天命三年二月壬寅,1618-04-13,1618-04-13,确定,审核中,QH-SU-NH-QSG-0001C,卷1；天命三年二月壬寅,上伐明，以七大恨告天，祭堂子而行。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,本条只证本纪有「七大恨」这一用语。七条全文与各本异文未拆。公历依通行年表，待历法库复核。
QH-A-HT-0001,事件发生,QH-P-000052,accession_occurred,即位于沈阳,天命十一年九月庚午朔,1626-10-20,1626-10-20,确定,审核中,QH-SU-HT-QSG-0002A,卷2；天命十一年九月庚午朔,即位於瀋陽。詔以明年為天聰元年。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,继汗位。诏明年改元，不是当年称帝。公历依通行年表，待历法库复核。
QH-A-HT-0002,事件发生,QH-P-000052,titled_as,大清,崇德元年四月乙酉,1636-05-15,1636-05-15,确定,审核中,QH-SU-HT-QSG-0003A,卷3；崇德元年四月乙酉,祭告天地，行受尊號禮，定有天下之號曰大清，改元崇德,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,称帝改国号在1636。不得倒写到努尔哈赤1616年。公历依通行年表，待历法库复核。
QH-A-SZ-0001,事件发生,QH-P-000053,accession_occurred,即皇帝位于笃恭殿,崇德八年八月丁亥,1643-10-08,1643-10-08,确定,审核中,QH-SU-SZ-QSG-0004A,卷4；崇德八年八月丁亥,上即皇帝位於篤恭殿。詔以明年為順治元年,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,盛京即位。入北京登极是次年十月另一句。公历依通行年表，待历法库复核。
QH-A-SZ-0002,事件发生,QH-P-000053,campaign_concluded,大军入关,顺治元年四月己卯,1644-05-27,1644-05-27,确定,审核中,QH-SU-SZ-QSG-0004B,卷4；顺治元年四月己卯,師至山海關，三桂開關出迎，大軍入關。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,本纪写多尔衮军入关。不得写成六岁皇帝亲征。公历依通行年表，待历法库复核。
QH-A-SZ-0003,事件发生,QH-P-000053,accession_occurred,定鼎燕京,顺治元年十月乙卯朔,1644-10-30,1644-10-30,确定,审核中,QH-SU-SZ-QSG-0004C,卷4；顺治元年十月乙卯朔,定鼎燕京，仍建有天下之號曰大清，紀元順治。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,北京登极。与盛京即位、四月入关分三层。公历依通行年表，待历法库复核。
QH-A-DG-0001,事件发生,QH-P-000055,accession_occurred,即皇帝位于太和殿,嘉庆二十五年八月庚戌,1820-10-03,1820-10-03,确定,审核中,QH-SU-DG-QSG-0017A,卷17；嘉庆二十五年八月庚戌,上即皇帝位於太和殿……以明年為道光元年。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,即位与改元分年。绵宁改旻宁不在本句。公历依通行年表，待历法库复核。
QH-A-DG-0002,事件发生,QH-P-000055,titled_as,议罢兵定约,道光二十二年七月己未至癸亥,1842-08-15,1842-08-29,确定,审核中,QH-SU-DG-QSG-0019A,卷19；道光二十二年七月,耆英奏與英兵官瑪禮遜等議罷兵。……耆英等請與英兵官定約，鈐御寶。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,本纪只到议款定约。条约条款、签字地点须回原件。不得写成静海寺已核议约现场。公历用七月窗口，待历法库复核。
QH-A-XF-0001,事件发生,QH-P-000056,stationed_at,避暑山庄,咸丰十年八月己巳至丁丑,1860-09-22,1860-09-30,确定,审核中,QH-SU-XF-QSG-0020A,卷20；咸丰十年八月己巳丁丑,上幸木蘭，自圓明園啟鑾。……丁丑，上駐蹕避暑山莊。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,本纪用语是幸木兰、驻跸避暑山庄。不得改写成北狩或逃离。圆明园被焚掠不在这两句里。公历依通行年表，待历法库复核。
QH-A-TZ-0001,文字或数值陈述,QH-P-000057,announced_next_reign_era,祺祥,咸丰十一年七月乙卯,1861-08-22,1861-08-22,确定,审核中,QH-SU-TZ-QSG-0021A,卷21；咸丰十一年七月乙卯,定年號祺祥。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,祺祥是拟用年号。十月即位诏改明年为同治元年。不得把祺祥写成正式纪年。公历依通行年表，待历法库复核。
QH-A-TZ-0002,事件发生,QH-P-000057,accession_occurred,即皇帝位,咸丰十一年十月甲子,1861-11-11,1861-11-11,确定,审核中,QH-SU-TZ-QSG-0021A,卷21；咸丰十一年十月甲子,上御太和殿即皇帝位，受朝。頒詔天下，以明年為同治元年,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,六岁即位。垂帘与亲政另层。公历依通行年表，待历法库复核。
QH-A-GX-0001,事件发生,QH-P-000058,designated_successor,继文宗为子入承大统,同治十三年十二月癸酉,1875-01-12,1875-01-12,确定,审核中,QH-SU-GX-QSG-0023A,卷23；同治十三年十二月癸酉,傳懿旨，以上繼文宗為子，入承大統，為嗣皇帝。俟嗣皇帝有子，即承繼大行皇帝。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,礼法上继咸丰为子。不得写成过继给同治。公历已入1875年。待历法库复核。
QH-A-XT-0001,事件发生,QH-P-000059,titled_as,将统治权公诸全国,宣统三年十二月戊午,1912-02-12,1912-02-12,确定,审核中,QH-SU-XT-QSG-0025A,卷25；宣统三年十二月戊午,特率皇帝將統治權公諸全國，定為立憲共和國體。……即由袁世凱以全權組織臨時共和政府,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,懿旨层。不得写成三岁皇帝本人决策。全权组织临时共和政府是诏书用语。公历依通行年表，待历法库复核。
QH-A-XT-0002,事件发生,QH-P-000059,titled_as,逊位,宣统三年十二月戊午,1912-02-12,1912-02-12,确定,审核中,QH-SU-XT-QSG-0025A,卷25；宣统三年十二月戊午,遂遜位。,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,本纪收束用语。伪满不续清朝在位。公历依通行年表，待历法库复核。
