event_id,person_id,当时称号,事件类型,原纪年,公历下界,公历上界,来源单元,引文,证据等级,冲突组 ID,主张 ID,排序键,备注
QH-TE-0001,QH-P-000023,皇后,册立,康熙四年七月,1665-08-11,1665-09-08,QH-SU-QSG-0214,康熙四年七月，冊為皇后。,C来源冲突,QH-CF-KX-EMPRESS-DATE,QH-A-KX-0039,1665-08,后妃传七月说。不得与九月辛卯说择一抹平。
QH-TE-0002,QH-P-000023,皇后,册立,康熙四年九月辛卯,1665-10-16,1665-10-16,QH-SU-QSG-0006,九月辛卯，冊赫舍里氏為皇后,C来源冲突,QH-CF-KX-EMPRESS-DATE,QH-A-KX-0040,1665-10-16,本纪六年月说。索尼孙女是本纪用词，亲属层级仍待玉牒。
QH-TE-0003,QH-P-000023,皇后,生育,康熙十三年五月丙寅,1674-06-06,1674-06-06,QH-SU-QSG-0214,生皇二子允礽，即於是日崩,S二手转述,,QH-A-KX-0041,1674-06-06,后妃传作允礽，本纪作胤礽。异写保留。
QH-TE-0004,QH-P-000023,皇后,崩逝,康熙十三年五月初三日,1674-06-06,1674-06-06,QH-SU-KX-0048,茲於康熙十三年五月初三日崩逝。,E1单源回查,,QH-A-KX-0043,1674-06-06a,实录诏之日。本纪/后妃传作五月丙寅即日。死因未记。
QH-TE-0005,QH-P-000023,仁孝皇后,初谥,康熙十三年六月二十七日,1674-07-29,1674-07-29,QH-SU-KX-0048,本年六月二十七日、冊謚為仁孝皇后禮成。,E1单源回查,,QH-A-KX-0044,1674-07-29,初谥仁孝，不是孝诚。
QH-TE-0006,QH-P-000060,妃,时态说明,康熙十六年八月以前,,,QH-SU-QSG-0214,初為妃。,S二手转述,,,1677-09-01,后妃传未给册妃日期。本纪十六年八月丙寅作贵妃钮祜禄氏为皇后。
QH-TE-0007,QH-P-000060,皇后,册立,康熙十六年八月丙寅,1677-09-18,1677-09-18,QH-SU-QSG-0006,冊立貴妃鈕祜祿氏為皇后,S二手转述,,QH-A-KX-0045,1677-09-18,由妃/贵妃册后。在位约半年。
QH-TE-0008,QH-P-000024,贵妃,册封,康熙十六年八月丙寅,1677-09-18,1677-09-18,QH-SU-QSG-0006,佟佳氏為貴妃。,S二手转述,,QH-A-KX-0046,1677-09-18a,与孝昭册后同日。当时不是皇后。
QH-TE-0009,QH-P-000060,皇后,崩逝,康熙十七年二月丁卯,1678-03-18,1678-03-18,QH-SU-QSG-0006,皇后鈕祜祿氏崩，謚曰孝昭皇后。,S二手转述,,QH-A-KX-0047,1678-03-18,本纪同日条含初谥孝昭皇后。
QH-TE-0010,QH-P-000025,德嫔,册封,康熙十八年,1679-02-11,1680-01-30,QH-SU-QSG-0214,十八年，為德嬪。,S二手转述,,QH-A-KX-0052,1679,仅到年。不是皇后。
QH-TE-0011,QH-P-000025,德妃,晋封,康熙二十年,1681-01-29,1682-02-16,QH-SU-QSG-0214,二十年，進德妃。,S二手转述,,QH-A-KX-0053,1681,康熙朝后妃传所记最高位号。
QH-TE-0012,QH-P-000024,皇贵妃,晋封,康熙二十年,,,QH-SU-QSG-0214,二十年，進皇貴妃。,S二手转述,,,1681-06,后妃传有年无日。本纪此年未在本轮打开对应条。
QH-TE-0013,QH-P-000023,仁孝皇后,安葬,康熙二十年三月辛酉,1681-04-18,1681-05-16,QH-SU-QSG-0006,葬仁孝皇后、孝昭皇后於昌瑞山陵。,S二手转述,,QH-A-KX-0048,1681-04,后妃传另作景陵。陵名待专题。
QH-TE-0014,QH-P-000060,孝昭皇后,安葬,康熙二十年三月辛酉,1681-04-18,1681-05-16,QH-SU-QSG-0006,葬仁孝皇后、孝昭皇后於昌瑞山陵。,S二手转述,,QH-A-KX-0048,1681-04a,与仁孝同日同地。
QH-TE-0015,QH-P-000024,皇后,册立,康熙二十八年七月癸卯,1689-08-23,1689-08-23,QH-SU-QSG-0007,癸卯，冊立貴妃佟氏為皇后。,S二手转述,,QH-A-KX-0049,1689-08-23,病笃册后。次日崩。
QH-TE-0016,QH-P-000024,皇后,崩逝,康熙二十八年七月甲辰,1689-08-24,1689-08-24,QH-SU-QSG-0007,甲辰，皇后崩，諡曰孝懿。,S二手转述,,QH-A-KX-0050,1689-08-24,册后翌日。不是雍正生母。
QH-TE-0017,QH-P-000025,皇太后,尊封,世宗即位,1722-12-20,1723-06-25,QH-SU-QSG-0214,世宗即位，尊為皇太后，擬上徽號曰仁壽皇太后，未上冊。,C来源冲突,QH-CF-YZ-RENSHOU,QH-A-KX-0054,1722-12-20,康熙朝不是皇后。徽号冲突见本纪九。
QH-TE-0018,QH-P-000025,皇太后,崩逝,雍正元年五月辛丑,1723-06-25,1723-06-25,QH-SU-QSG-0214,雍正元年五月辛丑，崩，年六十四。,S二手转述,,QH-A-KX-0056,1723-06-25,本纪九同日称仁寿皇太后崩。
QH-TE-0019,QH-P-000023,孝诚仁皇后,改谥,雍正元年,1723-02-05,1724-01-24,QH-SU-QSG-0214,雍正元年，改諡。,S二手转述,,QH-A-KX-0057,1723,最终谥号是死后累加，不能当成康熙四年的称号。
