Assertion ID,主张类型,主体 ID,谓词/关系,客体 ID 或值,原始时间表达,公历下界,公历上界,确定性,状态,来源实体 ID,卷页/档号/图像定位,支持引文,证据立场,证据直接性,证据强度,来源家族 ID,冲突组 ID,获取方式,录入人,复核人,复核日期,编辑备注
QH-A-JQ-0001,事件发生,QH-P-000054,accession_occurred,即皇帝位,嘉庆元年正月戊辰朔,1796-02-09,1796-02-09,不确定,审核中,QH-SU-JQ-QSG-0016A,卷16；嘉庆元年正月戊辰朔,嘉慶元年丙辰春正月戊辰朔，舉行內禪……上即位,支持,明确记载,中,QH-SF-QSG,QH-CF-QL-JQ-ABDICATION-GANZHI,结构化导入,AI,,,卷16作戊辰，卷15作戊申；两卷均指正月朔同一授受大典。
QH-A-JQ-0002,称号授予,QH-P-000019,honored_as,太上皇帝,嘉庆元年正月戊辰朔,1796-02-09,1796-02-09,确定,审核中,QH-SU-JQ-QSG-0016A,卷16；内禅条,尊高宗為太上皇帝,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,与卷15称号方向一致，仍属同一《清史稿》来源家族。
QH-A-JQ-0003,文字或数值陈述,QH-P-000019,reported_in_edict,太上皇帝训政,嘉庆元年正月戊辰朔,1796-02-09,1796-02-09,确定,审核中,QH-SU-JQ-QSG-0016A,卷16；内禅条,尊高宗為太上皇帝，訓政,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,“训政”是本纪概括，不是每项决策权的逐案统计。
QH-A-JQ-0004,事件发生,QH-P-000019,died_on,太上皇帝崩,嘉庆四年正月壬戌,1799-02-07,1799-02-07,确定,审核中,QH-SU-JQ-QSG-0016B,卷16；嘉庆四年正月壬戌,四年己未春正月壬戌，太上皇帝崩,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,与卷15同日方向一致。公历依通行年表，待历法库复核。
QH-A-JQ-0005,文字或数值陈述,QH-P-000054,reported_in_edict,始亲政,嘉庆四年正月壬戌,1799-02-07,1799-02-07,确定,审核中,QH-SU-JQ-QSG-0016B,卷16；嘉庆四年正月壬戌,上始親政,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,这是本纪的编纂表述，不自动证明此前每件政务均无参与。
QH-A-JQ-0006,事件发生,QH-P-000124,imprisoned,与福长安俱下狱鞫讯,嘉庆四年正月丁卯,1799-02-12,1799-02-12,确定,审核中,QH-SU-JQ-QSG-0016B,卷16；嘉庆四年正月丁卯,丁卯，大學士和珅有罪，及尚書福長安俱下獄鞫訊,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,下狱鞫讯不是同日已经赐死。公历按壬戌后五干支日对照。
QH-A-JQ-0007,文字或数值陈述,QH-P-000054,reported_in_edict,中外陈奏直达，不许副封关会军机处,嘉庆四年正月丁卯,1799-02-12,1799-02-12,确定,审核中,QH-SU-JQ-QSG-0016B,卷16；嘉庆四年正月丁卯,中外陳奏直達朕前，不許副封關會軍機處,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,具体奏事程序调整，不扩写成所有乾隆制度同日废除。
QH-A-JQ-0008,事件发生,QH-P-000124,granted_death,赐死于狱,嘉庆四年正月丁丑,1799-02-22,1799-02-22,确定,审核中,QH-SU-JQ-QSG-0016B,卷16；嘉庆四年正月丁丑,丁丑，和珅賜死於獄,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,距壬戌太上皇崩十五干支日，不是五日后即死。
QH-A-JQ-0009,称号授予,QH-P-000124,appointed_as,军机大臣；内务府大臣,乾隆四十一年,1776-01-01,1777-12-31,约略,审核中,QH-SU-JQ-QSG-0319A,卷319；和珅传乾隆四十至四十一年,次年，遂授戶部侍郎，命為軍機大臣，兼內務府大臣,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,卷319页面标50%文本质量；公历年界从宽，待历法库和影印本复核。
QH-A-JQ-0010,事件发生,QH-P-000124,imprisoned,命王大臣会鞫,嘉庆四年正月,1799-02-05,1799-03-06,约略,审核中,QH-SU-JQ-QSG-0319A,卷319；和珅传嘉庆四年正月,仁宗即以宣遺詔日傳旨逮治，命王大臣會鞫，俱得實,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,列传后出叙述；“俱得实”是史稿判断，不替代逐款档案。
QH-A-JQ-0011,文字或数值陈述,QH-P-000054,reported_in_edict,上谕宣布和珅罪状二十款,嘉庆四年正月,1799-02-05,1799-03-06,约略,审核中,QH-SU-JQ-QSG-0319A,卷319；和珅传转录上谕,詔宣布和珅罪狀，略曰……大罪二十,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,证明列传转录了一份二十款罪状上谕，不证明二十款均有独立材料互证。
QH-A-JQ-0012,文字或数值陈述,QH-P-000124,reported_in_edict,上谕指控提前递如意、以拥戴自居,嘉庆四年正月,1799-02-05,1799-03-06,约略,审核中,QH-SU-JQ-QSG-0319A,卷319；二十大罪第一款,和珅於初二日在朕前先遞如意，以擁戴自居，大罪一,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,这是卷319转录的政治清算上谕指控，不升格为已独立证实事实。
QH-A-JQ-0013,事件发生,QH-P-000124,granted_death,赐自尽，不令肆市,嘉庆四年正月,1799-02-05,1799-03-06,约略,审核中,QH-SU-JQ-QSG-0319A,卷319；和珅传嘉庆四年正月,上猶以和珅嘗任首輔，不忍令肆市，賜自盡,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,与卷16“赐死于狱”方向一致，但同属《清史稿》家族，不算独立双源。
