conflict_set_id,议题,冲突维度,现行编辑判断,判断依据主张,保留意见
QH-CF-KX-SUCCESSION,康熙继位与顾命叙事簇,客体,不择一终审；口谕、遗诏、实录仪节分层保存,QH-A-KX-0001,口谕遗诏与实录仪节互不覆盖；改诏传闻只挂对照栏
QH-CF-KX-EMPRESS-DATE,孝诚册立皇后七月/九月,时间,两说并存待核,,不删任何一说；玉牒或会典开光后复核。孝恭在康熙朝不是皇后。
QH-CF-KX-INVEST-DAY,立太子日丙寅/乙丑,时间,实录与本纪同作丙寅；乙丑仅列传一源,QH-A-KX-0121,乙丑说不删除，标列传独异
QH-CF-KX-DEPOSE-YEAR,初废颁示措辞,客体,措辞差异并存,,颁诏/颁示措辞不合并
QH-CF-KX-DEPOSE2-MONTH,再废九月/十月,时间,实录拆两日：庚戌拘执谕、辛亥朱笔废谕，两说各对一日,QH-A-KX-0122;QH-A-KX-0123,咸安宫：实录再废两条未见，本纪/列传有，最早出处待起居注
QH-CF-KX-PRINCE-ORDER,卷164 表序与缺号,客体,表序是来源版本排序，不是玉牒自然序,,不得据表序推自然长幼
QH-CF-KX-YINTI-NAME,胤禵/胤禎 写法,写法,第二面待补：胤禵避讳改名谕须先引世宗实录层，未引前单面不称冲突,,现有单面边界已在主张备注声明；补面之前不得择一。
QH-CF-YZ-RENSHOU,皇太后徽号称谓,客体,称谓层级并存,,时态称谓不混
QH-CF-YZ-DEATH,雍正崩逝细节,时间,本纪己丑与实录己丑子刻同日异文；丹药说降传闻层,QH-A-YZ-0041,死因不终审；地点不补
QH-CF-YZ-NIAN-DEATH,年羹尧死法,客体,赐死/狱中令自裁/令其自裁三说并存,QH-A-YZ-0042,不择一；实录令其自裁为当日谕旨层
QH-CF-YZ-LONGKEDUO-COUNTS,隆科多罪款与禁锢地,客体,本纪五十款且未写畅春园；实录与列传作四十一款、畅春园外禁锢,QH-A-YZ-0043,不择一；实录四十一款与畅春园外为当日谕旨层；本纪五十款仍保留
QH-CF-YZ-JUNJI,军机处设立时点,客体,本纪十年始设军机大臣；实录七年六月密办军需且无军机房字；年表七年六月始设军机房,QH-A-YZ-0045,不择一；实录密办军需为当日谕旨层；年表始设句不得写入实录；会典未开
QH-CF-QL-JQ-ABDICATION-GANZHI,嘉庆元年正月朔授受大典干支,卷15戊申 vs 卷16戊辰,两卷均指正月朔同一授受大典；干支异文暂不校改,QH-A-QL-0001；QH-A-JQ-0001,可能是史稿内部讹异、版本差或转录问题；须对影印本与独立历法库。
QH-CF-QL-NALA,继皇后那拉氏姓氏与断发,客体,乌拉那拉与辉发那拉不择一；断发只录官书「迹类疯迷」,,收册宝、丧仪降格须回实录会典后才能写到哪一层。不写南巡宫斗。
QH-CF-YZ-DYJML-SCENE,觉迷录传位场面与圣祖实录御榻衔名,客体,不择一；人员同为七皇子加隆科多；衔名时态分层,QH-A-YZ-0048,觉迷录用后来亲王号与阿其那、塞思黑、原任理藩院尚书；圣祖实录用淳郡王、贝勒、贝子、理藩院尚书。不得互改。
QH-CF-YZ-DYJML-GAIZHAO,改诏传闻与驳语,客体,不择一；不写已证伪,QH-A-YZ-0049,传闻是耿六格供称转述；驳语是刊本自辩；圣祖实录口谕遗诏无改字。三层并存。
QH-CF-QL-ZENGJING-ZHIZUI,本纪十月壬申命治罪,时间,本纪有此句；实录同日七条无此旨；不补未打开的他日条,QH-A-QL-0009,不得改成乾隆元年。实录卷4十月七日已逐条打开。
QH-CF-QL-ZENGJING-DEATH,曾静张熙死法,客体,实录凌迟处死；本纪磔于市；不择一,QH-A-QL-0008,日期是雍正十三年十二月十九日。不得改成乾隆元年。
