lane_id,栏目,相关人物ID,标题,通行说法,官书或档案怎么写,野史笔记或影视怎么写,差异或读法,证据状态,权利颜色,来源入口,来源说明,罕读原因,待核问题,使用说明,冲突组 ID,核查日期
QH-L-0001,后宫趣事,QH-P-000024；QH-P-000001；QH-P-000002,孝懿仁皇后：册为皇后后旋即崩逝,佟佳氏刚当上皇后就死了，有人说是喜极而亡，有人说宫里有隐情。,《清史稿》本纪七：康熙二十八年秋七月癸卯，册立贵妃佟氏为皇后；甲辰，皇后崩，谥曰孝懿。后妃传：二十八年七月病笃，册为皇后；翌日甲辰崩。是册后次日崩，不是当日同时。,影视常写成争宠失败或被设计致死；也有把她写成雍正真正的母亲。,册后旋崩是可以核的制度事件，不是宫斗剧本。本纪与后妃传在「次日」上一致。她是胤禛的抚养者候选，不是生母。生母是乌雅氏。,S二手转述,黄,#/empresses,已打开《清史稿》卷7、卷214。实录康熙二十八年册后条仍待打开。,,《圣祖实录》该年册立与崩逝条次；谥号初上是否即甲辰当日。,可作后宫侧记浏览，不得写成谋杀或‘雍正生母’。时间轴见皇后轴。,,2026-08-13
QH-L-0002,后宫趣事,QH-P-000035；QH-P-000010；QH-P-000001,苏麻喇姑：不是妃嫔，却抚育皇子,宫里有个叫苏茉儿的女人，跟孝庄、康熙关系很近，像保姆又像老师。,康雍样本把她登记为宫廷女性及抚养者。胤祹生母是定妃万琉哈氏；苏麻喇姑是抚育者候选。病逝与治丧常见于内务府满文奏折，不是后妃列传里的标准皇后传。,演义和影视常把她写成孝庄身边的苏茉儿，并铺一条与玄烨的感情线。,抚育事实、老师称呼、爱情故事是三层。本库只收前两层的待核线索，第三层当野史。,U待核,黄,https://fhac.com.cn/consult.html,人物档已标：内务府满文档中病逝治丧奏折；《清圣祖实录》；允祹王府档。,,满文病逝奏折的档号、与孝庄/玄烨/胤祹的关系类型。,展示宫廷非后妃照护关系。禁止把苏茉儿爱情剧写进人物关系。,,2026-08-13
QH-L-0003,后宫趣事,QH-P-000002；QH-P-000024；QH-P-000025,雍正有生母、抚养者、嫡母，不是一个‘妈’,雍正的妈妈是皇后，所以他最正统。,后妃传：乌雅氏康熙十八年德嫔、二十年德妃；世宗即位才尊皇太后。佟佳氏十六年为贵妃，二十八年才册后旋崩。三种母职不是同一个人。,影视常把‘皇后养大的四阿哥’写成嫡出，或把乌雅氏、佟佳氏合成一个人。,这是本库后宫栏最有用的一条：有趣，是因为制度细，不是因为秘闻。三种母职必须分栏。,S二手转述,黄,#/empresses,先用后妃传和玉牒线索分栏，再逐条回册文与实录。,,抚育胤禛的直接证据起止时间；仁寿徽号是否上册（后妃传未上册，本纪九崩条称仁寿皇太后）。,用于纠正‘皇后所出’的误读。在玉牒核验前仍是候选。,,2026-08-13
QH-L-0004,后宫趣事,QH-P-000023；QH-P-000004；QH-P-000001,孝诚仁皇后：生下皇太子后崩逝,康熙最爱的皇后生太子时难产死了，所以太子地位特别高。,后妃传与本纪六均记康熙十三年五月丙寅生皇子、皇后赫舍里氏即日崩。实录卷48颁诏：兹于康熙十三年五月初三日崩逝；六月二十七日册谥为仁孝皇后。册后月份则冲突：后妃传四年七月，本纪四年九月辛卯。,宫斗剧把她的死写成对手下毒，并把康熙一生的伤痛全部系在这一天。,可核的是生育、崩逝同日、初谥仁孝。不可核的是‘最爱’和谋杀。七月与九月必须两说并存。,C来源冲突,黄,#/empresses,已打开卷214、卷6、实录卷48诏文。冲突组 QH-CF-KX-EMPRESS-DATE。,,韩国站或一史馆核卷48条次；四年册后实录原文落在七月还是九月。,可讲后宫高死亡率，不讲下毒。册后日期看皇后轴上的冲突组。,QH-CF-KX-EMPRESS-DATE,2026-08-13
QH-L-0005,后宫趣事,QH-P-000038；QH-P-000049；QH-P-000002,年贵妃受宠，不等于年羹尧因此掌权,雍正给年羹尧兵权，是因为宠爱年妃。,年氏是藩邸侧福晋，后册贵妃、皇贵妃。年羹尧的川陕总督、抚远大将军任命在实录和奏折里是军政职务链。两件事时间上可以并列，不能写成因果。,影视把年羹尧写成‘国舅掌兵’，年妃一死他就倒台。,后宫受宠和外廷军权要分开取证。死亡追封与年羹尧获罪的先后，必须排时间线，不能用剧情倒推。,S二手转述,黄,https://qingarchives.npm.edu.tw/index.php?act=Landing%2Finformation,册文、世宗实录、年羹尧满汉奏折与朱批应分条登录。,,入府和册封日期；所生子女；年氏之死与年羹尧获罪的先后。,后宫栏用来拆因果，不是用来写言情。,,2026-08-13
QH-L-0006,后宫趣事,QH-P-000002,雍正爱扮装，但那不是朝会身份,雍正私下爱穿道袍、洋装，性格很怪。,清宫留下《雍正行乐图》一类扮装册页。本库已收一道装开页为其他真迹，许可公版。它证明宫廷允许皇帝以戏装入画，不能代表朝会身份，也不能用来定量说明他‘崇道’。,网络段子把扮装图当成雍正日常穿搭，或证明他迷信、玩世。,有趣的是图像本身；要核的是图册题名、开页和原作。默认头像仍用朝服像。,E1单源回查,绿,#/image/QH-V-E05B,Commons 文件页 Album of the Yongzheng Emperor in Costumes.jpg；人物页其他真迹。,,拆分图册各开、逐图情境和原题。,这是少数可以在站内直接看图的后宫侧记。,,2026-08-13
QH-L-0007,野史对照,QH-P-000001；QH-P-000002；QH-P-000012；QH-P-000048,‘传位十四子’和改诏说,康熙本想传给十四子胤禵，隆科多把遗诏‘十’字改成‘于’，变成‘传位于四子’。,《圣祖实录》卷300当日第1条：寅刻御榻口谕令皇四子胤禛继位，当时胤禛还在赶路，巳刻才到寝宫。同日第2条遗诏文本点名‘雍亲王皇四子胤禛’。两条都没有‘传位十四子’或改字情节。,晚清以来笔记、民国传闻和影视反复使用‘十改于’。满汉遗诏的书写习惯并不支持这种改法。,野史可以登记，但不能覆盖已打开的实录文本。口谕发生时胤禛不在场，这是官书自己写出的时间差，比改诏故事更值得追问。,C来源冲突,黄,#/chapter/kangxi-01,已拆主张 QH-A-KX-0028、0033、0034、0037。冲突组 QH-CF-KX-SUCCESSION。,,满汉遗诏最早可见文本、传宣链条、改诏说的最早出处。,野史栏对照用。不得把改诏说写成已核事实。,QH-CF-KX-SUCCESSION,2026-08-13
QH-L-0008,野史对照,QH-P-000002,雍正之死：官书只写崩，丹药是后出说法,雍正是吃丹药暴崩的。,《清史稿》世宗本纪记崩。本库尚未打开《世宗实录》崩逝当日条，故不填写死亡时刻和地点，也不把丹药写进官书栏。,晚出笔记和现代通俗史常写炼丹、僧道、暴崩。影视再加成仇家投毒。,‘官书未写丹药’不等于‘已证伪丹药’。在打开实录、起居注和内务府相关档之前，两种说法并存，丹药说降为传闻层。,C来源冲突,黄,https://zh.wikisource.org/wiki/%E6%B8%85%E5%8F%B2%E7%A8%BF/%E5%8D%B79,先定位《清史稿》卷9，再补《世宗实录》卷末。,,打开世宗实录崩逝条；丹药说最早出处与是否被当作史实转述。,对照栏。禁止为了有趣而补写死因。,QH-CF-YZ-DEATH,2026-08-13
QH-L-0009,野史对照,QH-P-000002,吕四娘刺杀雍正,吕留良的孙女吕四娘混进宫，刺死雍正并取其首级。,吕留良案是雍正朝文字狱，官书和案档处理的是吕氏家族处分，不是女刺客入宫。本库未见到可定位的A1/A2材料支持刺杀。,民国武侠、评书和影视把吕四娘写成复仇刺客，并解释为何雍正不公开发丧或用无头像。,这是典型‘好看但目前不可证’。文字狱是一回事，宫门刺杀是另一回事。,X目前不可证,黄,https://zh.wikisource.org/wiki/%E6%B8%85%E5%8F%B2%E7%A8%BF/%E5%8D%B79,只作传闻登记。不建立刺客人物实体，除非出现可核档案。,,吕四娘故事的最早刊本；是否被误接到吕留良案上。,可讲‘野史怎么长出来’，不可讲‘雍正被刺死’。,QH-CF-YZ-DEATH,2026-08-13
QH-L-0010,野史对照,QH-P-000053,顺治出家说,顺治因董鄂妃之死看破红尘，出家当了和尚。,十二帝研究卡已写：出家说不作事实。官书记顺治十八年正月崩逝，玄烨随即即位。董鄂妃之死与皇帝礼佛、僧人往来，是另一组待核事件，不能合成出家。,《清凉山赞佛诗》被读成隐写，加上五台山传说和戏曲《董小宛》，出家成了定论。,礼佛、宠妃之死、出家，必须三层。本栏只登记冲突，不把传说升格。,C来源冲突,黄,https://www.dpm.org.cn/court/lineage/226262.html,故宫人物页作入口；出家说追溯最早出处另建任务。,,董鄂妃身份与董小宛是否被误接；赞佛诗的文本层。,野史对照。研究卡已禁止把出家当事实。,QH-CF-SZ-MONK,2026-08-13
