question_id,类别,问题,期望行为,绑定ID,可公开答案,拒答说明,路由,证据状态
QH-GQ-0001,事实查询,康熙哪一年即的位？哪一年才改元康熙？,返回答案,QH-A-KX-0001；QH-A-KX-0014,实录卷1：顺治十八年正月初九日即皇帝位；同日宣布以明年为康熙元年。即位在1661，康熙纪年从1662年起。,,#/chapter/kangxi-01,E1单源回查
QH-GQ-0002,版本冲突,康熙哪一年立的太子？依据哪一条？,并陈冲突,QH-A-KX-0070；QH-A-KX-0071；QH-A-KX-0121；QH-CF-KX-INVEST-DAY,本纪六与实录卷58作十四年十二月丙寅；列传作乙丑。三层并存，不择一。,,#/succession,C来源冲突
QH-GQ-0003,事实查询,孝恭仁皇后在康熙朝是什么身份？,返回答案,QH-A-KX-0052；QH-A-KX-0053,后妃传：康熙十八年德嫔，二十年德妃。康熙朝不是皇后。世宗即位才尊皇太后。,,#/empresses,S二手转述
QH-GQ-0004,事实查询,雍正即位时谁在御榻前？,返回答案,QH-A-KX-0032；QH-A-KX-0038,《圣祖实录》卷300寅刻名单：允祉、允祐、允禩、允禟、允䄉、允祹、胤祥、隆科多。皇四子不在此名单。,,#/chapter/kangxi-01,E1单源回查
QH-GQ-0005,事实查询,畅春园今天在哪儿？,返回答案,QH-ST-0013,北京市海淀区北京大学西门外一带。园子几乎没了，路边还剩恩佑寺、恩慕寺两座山门。,,#/site/QH-ST-0013,S二手索引
QH-GQ-0006,事实查询,第四子胤禛，在圣祖皇子表那一卷里有没有一行？,返回答案,QH-A-KX-0061；QH-P-000002,圣祖系这一卷没有第四子这一行。第四子即后来世宗，子孙见卷165。不能读成康熙无第四子。,,#/princes,S二手转述
QH-GQ-0007,版本冲突,康熙崩在哪间屋子？,并陈冲突,QH-A-KX-0037；QH-A-YZ-0001；QH-ST-0013,实录写戌刻崩于寝宫。本纪九写圣祖在畅春园不豫。清溪书屋是后来说法。分层登记，不互相改写。,,#/chapter/kangxi-01,C来源冲突
QH-GQ-0008,事实查询,遗诏点名谁继位？,返回答案,QH-A-KX-0026；QH-A-KX-0028,现存《圣祖实录》卷300第2/2条遗诏点名雍亲王皇四子胤禛，令其继位。只证明这个版本如此写。,,#/claim/QH-A-KX-0028,E1单源回查
QH-GQ-0009,事实查询,口谕发生时胤禛在不在场？,返回答案,QH-A-KX-0030；QH-A-KX-0033；QH-A-KX-0034,实录：丑刻趣召于斋所；寅刻口谕时他不在御榻名单；巳刻才趋进寝宫。时间差按原文保留。,,#/chapter/kangxi-01,E1单源回查
QH-GQ-0010,事实查询,隆科多被召至御榻前时是什么职衔？,返回答案,QH-A-KX-0038,实录作理藩院尚书隆科多。本纪九辛丑条称尚书隆科多总理事务。,,#/person/QH-P-000048,E1单源回查
