person_id,表序,表序标签,收录状态,规范名,世表用名,异名,父亲ID,生母人物ID,生母候选名,生母来源,世表摘要,后妃传子女句,证据状态,冲突组 ID,排序键,备注
QH-P-000003,1,圣祖第一子,入序正文,爱新觉罗·胤禔,胤禔,允禔；直郡王,QH-P-000001,QH-P-000026,惠妃纳喇氏,卷214惠妃条,聖祖第一子。康熙三十七年封直郡王，四十七年緣事革爵，雍正十二年卒，照貝子例殯葬,惠妃，納喇氏。子二：承慶，殤；允禔。,C来源冲突,QH-CF-KX-PRINCE-ORDER,01,表序第一子。后妃传另称承瑞为圣祖长子。不是玉牒自然序。
QH-P-000004,2,圣祖第二子,入序正文,爱新觉罗·胤礽,胤礽,允礽；皇太子；理密亲王,QH-P-000001,QH-P-000023,孝诚仁皇后赫舍里氏,卷214孝诚传,聖祖第二子。康熙十四年立爲皇太子，四十六年廢，四十八年復立，五十一年復廢。雍正二年薨，追封理親王，諡曰密,十三年五月丙寅，生皇二子允礽。子二：承祐，四歲殤；允礽。,C来源冲突,QH-CF-KX-DEPOSE-YEAR；QH-CF-KX-INVEST-DAY；QH-CF-KX-DEPOSE2-MONTH,02,后妃传皇二子与世表第二子一致。承祐是孝诚另一子，未入此序。世表作四十六年废，本纪作四十七年；立储乙丑/丙寅、再废九月/十月均保留。见储位链。
QH-P-000005,3,圣祖第三子,入序正文,爱新觉罗·胤祉,胤祉,允祉；诚隐郡王,QH-P-000001,QH-P-000027,荣妃马佳氏,卷214荣妃条,聖祖第三子。康熙三十七年封誠郡王，三十八年緣事降貝勒，四十八年晉誠親王，雍正六年緣事降誠郡王，八年復封誠親王，尋緣事革爵，十年薨,榮妃，馬佳氏。子五：……允祉。,S二手转述,,03,勿与第二十四子胤祕的诚亲王号混为一人。
QH-P-000002,4,圣祖第四子,本卷缺号,爱新觉罗·胤禛,,雍正帝；世宗；皇四子,QH-P-000001,QH-P-000025,孝恭仁皇后乌雅氏,卷214孝恭传,卷164无此行。实录崩逝条、遗诏称皇四子胤禛。,子三：世宗，允禵，允祚。,C来源冲突,QH-CF-KX-PRINCE-ORDER,04,皇子世表按帝系分卷。第四子即后来世宗，本人不出现在卷164圣祖系。不能读成康熙无第四子。子孙见卷165。
QH-P-000006,5,圣祖第五子,入序正文,爱新觉罗·胤祺,胤祺,允祺；恒亲王,QH-P-000001,QH-P-000028,宜妃郭络罗氏,卷214宜妃条,聖祖第五子。康熙三十七年封貝勒，四十八晉恆親王，雍正十年薨，諡曰溫,宜妃，郭絡羅氏。子三：允祺、允禟、允禌,S二手转述,,05,
QH-P-000062,6,圣祖第六子,入序正文,爱新觉罗·胤祚,胤祚,允祚,QH-P-000001,QH-P-000025,孝恭仁皇后乌雅氏,卷214孝恭传,聖祖第六子。早卒,子三：世宗，允禵，允祚。允祚六歲殤。,S二手转述,,06,入序而早卒。六岁殇只见于后妃传。
QH-P-000061,7,圣祖第七子,入序正文,爱新觉罗·胤祐,胤祐,允祐；淳度亲王,QH-P-000001,,成妃戴佳氏,卷214成妃条,聖祖第七子。康熙三十九年封貝勒，四十八年晉淳郡王，雍正元年晉淳親王，八年薨，諡曰度,成妃，戴佳氏。子一，允祐。,S二手转述,,07,成妃尚未建档。实录崩逝条作皇七子淳郡王允祐。
QH-P-000007,8,圣祖第八子,入序正文,爱新觉罗·胤禩,胤禩,允禩；廉亲王；阿其那,QH-P-000001,QH-P-000029,良妃卫氏,卷214良妃条,聖祖第八子。康熙三十七年封貝勒，六十一年晉廉親王，雍正四年以罪革爵,良妃，衛氏。子一，允禩。,S二手转述,,08,
QH-P-000008,9,圣祖第九子,入序正文,爱新觉罗·胤禟,胤禟,允禟；塞思黑,QH-P-000001,QH-P-000028,宜妃郭络罗氏,卷214宜妃条,聖祖第九子。康熙四十八年封貝子，雍正三年以罪革爵,宜妃子三：允祺、允禟、允禌,S二手转述,,09,
QH-P-000009,10,圣祖第十子,入序正文,爱新觉罗·胤䄉,胤䄉,允䄉；敦郡王,QH-P-000001,QH-P-000030,温僖贵妃钮祜禄氏,卷214温僖贵妃条,聖祖第十子。康熙四十八年封敦郡王，雍正二年以罪革爵，乾隆二年封輔國公品級，六年卒,溫僖貴妃，鈕祜祿氏，孝昭皇后妹。子一，允䄉。,S二手转述,,10,
QH-P-000063,11,圣祖第十一子,入序正文,爱新觉罗·胤禌,胤禌,允禌,QH-P-000001,QH-P-000028,宜妃郭络罗氏,卷214宜妃条,聖祖第十一子，早卒,允禌十二歲殤。,S二手转述,,11,入序而早卒。十二岁殇只见于后妃传。
QH-P-000010,12,圣祖第十二子,入序正文,爱新觉罗·胤祹,胤祹,允祹；履亲王,QH-P-000001,QH-P-000031,定妃万琉哈氏,卷214定妃条,聖祖第十二子。康熙四十八年封貝子，六十一年晉履郡王……乾隆二十八薨,定妃，萬琉哈氏。……就養其子履親王允祹邸。,S二手转述,,12,
QH-P-000011,13,圣祖第十三子,入序正文,爱新觉罗·胤祥,胤祥,允祥；怡贤亲王,QH-P-000001,QH-P-000032,敬敏皇贵妃章佳氏,卷214敬敏传,聖祖第十三子。康熙六十一年封怡親王，雍正八年薨，諡曰賢,雍正初，世宗以其子怡親王允祥賢，追進封。,S二手转述,,13,崩逝条作皇十三子胤祥，未改允。
