source_unit_id,source_entity_id,史料名,卷次,原纪年,网页公历标示,当日条次,直接记录网址,数字底本说明,证据等级,权利策略,核查日期,说明
QH-SU-YZ-QSG-0009A,SRC-025,清史稿,卷9,康熙六十一年十一月,1722,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,畅春园不豫、甲午大渐宣诏嗣位、圣祖崩、辛丑即位、明年雍正元年、四人总理事务、召胤禵。甲午=十一月十三日与实录崩日同；辛丑即位比遗诏文本晚七日。不得把改诏说写进本条。
QH-SU-YZ-QSG-0009B,SRC-025,清史稿,卷9,康熙六十一年十二月,1723,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,壬戌封廉亲王、怡亲王等。甲子命隆科多为吏部尚书。不得据此写成九子夺嫡结束。
QH-SU-YZ-QSG-0009C,SRC-025,清史稿,卷9,雍正元年三月甲申,1723,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,加隆科多、马齐、年羹尧太保；封年羹尧三等公。太保与公爵同日条，仍分主张。
QH-SU-YZ-QSG-0009D,SRC-025,清史稿,卷9,雍正元年八月甲子,1723,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,召王大臣九卿面谕建储：亲写密封藏正大光明匾额之后。自述去年十一月仓卒一言而定，是上谕用语，不是对改诏说的裁断。
QH-SU-YZ-QSG-0009E,SRC-025,清史稿,卷9,雍正元年九月至十二月,1723,本纪多日,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,九月丁丑朔葬圣祖于景陵、孝恭皇后祔；十月戊申授年羹尧抚远大将军；十二月丁卯册嫡妃那拉氏为皇后、封年氏为贵妃。孝恭祔葬不能倒写成康熙朝皇后。
QH-SU-YZ-QSG-0009H,SRC-025,清史稿,卷9,雍正二年三月,1724,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,岳钟琪师抵贼巢，罗卜藏丹津遁，青海平。封年羹尧一等公、岳钟琪三等公。战况细节待方略与实录。
QH-SU-YZ-QSG-0009I,SRC-025,清史稿,卷9,雍正三年三月至十二月,1725,本纪多日,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,辛酉责夕惕朝乾；四月调杭州将军；六月削太保；七月削隆科多太保、年羹尧黜为闲散；十二月甲戌议罪九十二款、赐死。赐死与列传自裁并存。
QH-SU-YZ-QSG-0009K,SRC-025,清史稿,卷9,雍正四年正月戊戌,1726,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,宣诏罪状皇八弟胤禩，易名阿其那。阿其那释义待满文与上谕专条，本条只记本纪用字。
QH-SU-YZ-QSG-0009L,SRC-025,清史稿,卷9,雍正五年六月至十月,1727,本纪多日,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,六月隆科多以罪削爵；十月丁亥会审大罪五十，得旨著禁锢。款数与列传四十一款冲突。本纪此条未写畅春园外筑屋。
QH-SU-YZ-QSG-0009N,SRC-025,清史稿,卷9,雍正十年六月辛巳,1732,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,办理军机大臣议奏恤赠条下，本纪云军机大臣之设始于此。实录七年六月密办军需、年表七年六月始设军机房，三说并存，不得用本条否证或改写成七年。
QH-SU-YZ-QSG-0009M,SRC-025,清史稿,卷9,雍正十三年八月,1735,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,丁亥不豫，戊子大渐宣旨传位宝亲王弘历，己丑崩年五十八。本条未写圆明园，也未写丹药。地点与死因另层登记。乾隆二年三月葬泰陵。
