event_id,person_id,当时称号,事件类型,原纪年,公历下界,公历上界,来源单元,引文,回查状态,冲突组 ID,主张 ID,排序键,备注
QH-TE-0020,QH-P-000036,嫡福晋,时态说明,圣祖册后为嫡福晋,,,QH-SU-YZ-QSG-0214B,世宗為皇子，聖祖冊后為嫡福晉。,S二手转述,,,1690,康熙朝是嫡福晋，不是皇后。
QH-TE-0021,QH-P-000036,皇后,册立,雍正元年,1723-02-05,1724-01-24,QH-SU-YZ-QSG-0214B,雍正元年，冊為皇后。,S二手转述,,QH-A-YZ-0017,1723,后妃传到年。本纪元年十二月丁卯另条。
QH-TE-0022,QH-P-000036,皇后,崩逝,雍正九年九月己丑,1731-10-17,1731-10-17,QH-SU-YZ-QSG-0214B,九年九月己丑，崩。,S二手转述,,,1731-10-17,公历依通行年表，待历法库复核。
QH-TE-0023,QH-P-000037,格格,时态说明,年十三事世宗潜邸,,,QH-SU-YZ-QSG-0214B,后年十三，事世宗潛邸，號格格。,S二手转述,,,1692,当时不是妃、不是皇后。
QH-TE-0024,QH-P-000037,格格,生育,康熙五十年八月庚午,1711-09-25,1711-09-25,QH-SU-YZ-QSG-0214B,康熙五十年八月庚午，高宗生。,S二手转述,,,1711-09-25,当时号格格。公历依通行年表。
QH-TE-0025,QH-P-000037,熹妃,册封,雍正中,,,QH-SU-YZ-QSG-0214B,雍正中，封熹妃，進熹貴妃。,S二手转述,,,1723-06,只到「雍正中」。进贵妃同句，晋封另看本纪。
QH-TE-0026,QH-P-000037,皇太后,尊封,高宗即位,1735-10-08,1736-02-11,QH-SU-YZ-QSG-0214B,高宗即位，以世宗遺命，尊為皇太后,S二手转述,,,1735-10,遗命是后妃传用语，不另证密旨原件。
QH-TE-0027,QH-P-000038,侧福晋,时态说明,事世宗潜邸,,,QH-SU-YZ-QSG-0214B,事世宗潛邸，為側福晉。,S二手转述,,,1711,当时不是贵妃。
QH-TE-0028,QH-P-000038,贵妃,册封,雍正元年,1723-02-05,1724-01-24,QH-SU-YZ-QSG-0214B,雍正元年，封貴妃。,S二手转述,,QH-A-YZ-0018,1723,本纪元年十二月丁卯同方向。
QH-TE-0029,QH-P-000038,皇贵妃,晋封,雍正三年十一月,1725-12-05,1726-01-03,QH-SU-YZ-QSG-0214B,三年十一月，妃病篤，進皇貴妃。,S二手转述,,,1725-12,进号在病笃时。薨逾月兄羹尧得罪，不并成本条因果。
QH-TE-0030,QH-P-000039,侧室福晋,时态说明,事世宗潜邸,,,QH-SU-YZ-QSG-0214B,事世宗潛邸，為側室福晉。,S二手转述,,,1697,当时不是齐妃。
QH-TE-0031,QH-P-000039,齐妃,册封,雍正间,,,QH-SU-YZ-QSG-0214B,雍正間，封齊妃。,S二手转述,,,1723-06,只到「雍正间」。
QH-TE-0032,QH-P-000040,格格,时态说明,事世宗潜邸,,,QH-SU-YZ-QSG-0214B,事世宗潛邸，為格格。,S二手转述,,,1711,当时不是裕妃。
QH-TE-0033,QH-P-000040,裕嫔,册封,雍正间,,,QH-SU-YZ-QSG-0214B,雍正間，封裕嬪，進裕妃。,S二手转述,,,1723-06,进妃同句。最终纯慤是乾隆朝谥。
QH-TE-0034,QH-P-000134,贵人,时态说明,事世宗潜邸,,,QH-SU-YZ-QSG-0214B,事世宗潛邸，號貴人。,S二手转述,,,1733,当时不是谦妃。
QH-TE-0035,QH-P-000134,谦嫔,册封,雍正间,,,QH-SU-YZ-QSG-0214B,雍正間，封謙嬪。,S二手转述,,,1733-06,高宗尊皇考谦妃是后来的事。
QH-TE-0036,QH-P-000135,格格,时态说明,事世宗,,,QH-SU-YZ-QSG-0214B,事世宗，號格格。,S二手转述,,,1694,当时不是懋嫔。
QH-TE-0037,QH-P-000135,懋嫔,册封,雍正初,,,QH-SU-YZ-QSG-0214B,雍正初，封懋嬪。,S二手转述,,,1723,女二皆殇。
