site_id,相关皇帝ID,相关人物ID,事件,当时,今日,今地说明,边界,卡片钩子,证据状态,权利颜色,文件页,预览文件,文件页标示许可,作者或摄影者,制作年代或摄影日期,待核问题,排序,首页
QH-ST-0001,QH-E-01,QH-P-000051,萨尔浒之战,1619年，明军分路来攻，后金在萨尔浒一带交战。当时两城之间是苏子河河谷。,辽宁省抚顺市大伙房水库。萨尔浒城、界藩城隔水相望，主战场多已在库区水下。,今地对照，不是战报。辽宁日报2022年记述：库区水量大时水面可淹到古城墙；两城直线约千米。萨尔浒城遗址2019年列入第八批全国重点文物保护单位。大伙房水库1950年代建成，现为沈阳、抚顺水源地。,兴京、赫图阿拉在新宾，是起兵驻地，不是这场战役的主战场。今貌不能倒推1619年地貌。战役经过须回《太祖实录》，不把风景区解说写成战史。,古战场多半已经在水下。岸上还剩两座城，隔水相望。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:LIaoning_Dahuofang_%E5%A4%A7%E4%BC%99%E6%88%BF%E6%B0%B4%E5%BA%9301_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/LIaoning_Dahuofang_%E5%A4%A7%E4%BC%99%E6%88%BF%E6%B0%B4%E5%BA%9301_-_panoramio.jpg,CC BY-SA 3.0,George Wenn,2007,国务院第八批名录原文；萨尔浒城、界藩城精确坐标；《太祖实录》该年条次,10,1
QH-ST-0002,QH-E-01,QH-P-000051,赫图阿拉,努尔哈赤起兵后的重要驻地，后称兴京。,辽宁省抚顺市新宾满族自治县赫图阿拉城／兴京一带。,这张照片拍的是今日兴京桥一带。可以帮人定位，河流、植被、建筑都是现代层。与萨尔浒水库不是同一个点。,不能把兴京今貌标成萨尔浒古战场。,起兵的老城还在新宾。萨尔浒那一仗不在这儿。,S二手索引,绿,"https://commons.wikimedia.org/wiki/File:Views_from_Xingjing_Bridge,_Xinbin.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Views_from_Xingjing_Bridge%2C_Xinbin.jpg/960px-Views_from_Xingjing_Bridge%2C_Xinbin.jpg,CC0,H2v5o68z,21世纪,赫图阿拉城墙现存段落与文物点坐标,20,
QH-ST-0014,QH-E-01,QH-P-000051,永陵,努尔哈赤以上四代父祖的陵。原称兴京陵，顺治十六年改永陵。就在赫图阿拉附近。,辽宁省抚顺市新宾满族自治县永陵镇。陵还在，能进去。,关外三陵里辈分最高的一座。起兵的城在隔壁赫图阿拉，祖坟在永陵镇，隔得不远，不是同一个点。,不要和沈阳福陵、河北清东陵混成一座陵。,祖坟还在新宾。起兵的老城在隔壁。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Yongling_Tomb_of_Qing_Dynasty_-_1.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Yongling_Tomb_of_Qing_Dynasty_-_1.JPG/960px-Yongling_Tomb_of_Qing_Dynasty_-_1.JPG,CC BY-SA 3.0,Shallowell,2010,顺治十六年改名永陵的实录条次；四祖葬次,21,
QH-ST-0006,QH-E-01；QH-E-02,QH-P-000051；QH-P-000052,沈阳故宫,努尔哈赤迁都沈阳后建宫，皇太极扩建。入关前叫盛京，这里是汗宫、后来的陪都宫殿。,辽宁省沈阳市沈河区沈阳故宫博物院。仍在市区里，2004年列入世界遗产。,今地是博物馆，不是入关前的朝廷现场。宫还在，四周已经是沈阳街道。不要和北京故宫当成同一座宫。,营建分期、哪座殿是哪一年的，须回实录与建筑史，不把游览路线写成当时朝会路线。,入关前的宫，今天还在沈阳城里。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Mukden_Palace_drone_view_6.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Mukden_Palace_drone_view_6.jpg/960px-Mukden_Palace_drone_view_6.jpg,CC BY-SA 4.0,Techyan,2020,大政殿、十王亭与崇政殿的营建条次；与北京故宫的制度差别,22,
QH-ST-0007,QH-E-01；QH-E-02,QH-P-000051；QH-P-000052,福陵,努尔哈赤陵。天聪三年选址营建，后来称福陵。在盛京东北郊外的山上。,辽宁省沈阳市浑南区东陵公园。俗称东陵。1988年国保，2004年随盛京三陵列入世界遗产。,陵还在，已经包进市民公园。沈阳城区扩到陵边。不要和河北遵化的清东陵混成一座陵。,始葬、迁葬、配葬名单须回实录。公园步道和石阶是后来层，不能倒推天聪年的山路。,开国汗的陵，今天是沈阳东边一座公园。,S二手索引,绿,"https://commons.wikimedia.org/wiki/File:2014_East_Tomb_(Fuling,_Tomb_of_Manchu_Chief_Nurhachi)_10.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/2014_East_Tomb_%28Fuling%2C_Tomb_of_Manchu_Chief_Nurhachi%29_10.jpg/960px-2014_East_Tomb_%28Fuling%2C_Tomb_of_Manchu_Chief_Nurhachi%29_10.jpg,CC0,Gary Lee Todd,2014,天聪三年选址与迁葬叶赫那拉氏的实录条次；与昭陵、永陵的分别,24,
QH-ST-0015,QH-E-02,QH-P-000052,昭陵,皇太极和孝端文皇后的陵。关外三陵里最大的一座。,辽宁省沈阳市皇姑区北陵公园。陵包在公园里。,俗称北陵。福陵在东边叫东陵，昭陵在北边叫北陵。沈阳人早晨来跑步的，就是这座陵。,不要和陕西唐太宗昭陵混。也不要靠「东陵」「北陵」去猜河北的清东陵、清西陵。,关外三陵中最大的一座，如今包在沈阳的公园里。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Beiling_Park_Zhao_Mausoleum_(Qing_dynasty)_drone_view_16.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Beiling_Park_Zhao_Mausoleum_%28Qing_dynasty%29_drone_view_16.jpg/960px-Beiling_Park_Zhao_Mausoleum_%28Qing_dynasty%29_drone_view_16.jpg,CC BY-SA 4.0,Techyan,2020,昭陵始建与孝端合葬条次,26,7
QH-ST-0003,QH-E-01；QH-E-02,QH-P-000051；QH-P-000052,宁远之战,天启年间宁远卫城是关外要地。袁崇焕守城、红夷大炮，后来写入明清叙事。,辽宁省葫芦岛市兴城市区。明代宁远卫城，清代改宁远州。内城城墙大体还在。,今地是一座还能走上去的明卫城，不是已经夷平的土岗。辽宁省文旅厅记其为关外仅存的卫城级军事遗存，并称宁远、宁锦之战主战场与此相关。城墙为全国重点文物保护单位。,战役日程、伤亡、炮伤与努尔哈赤死因，都未回原文。城墙经过历代维修，看见的砖不是1626年原状。,当年的宁远卫城，今天还能沿着城墙走一圈。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Xingcheng_Defensive_wall_2010.09.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Xingcheng_Defensive_wall_2010.09.JPG/960px-Xingcheng_Defensive_wall_2010.09.JPG,CC BY-SA 3.0,猫猫的日记本,2010,天启修城与清初培筑的分层；宁远之战在《清实录》《明实录》中的对应条,30,2
QH-ST-0008,QH-E-03,QH-P-000053,山海关之战,崇祯十七年，李自成、吴三桂、清军在山海关一带交战。随后清军入关，那年是顺治元年。,河北省秦皇岛市山海关区。关城还在，游客最常拍「天下第一关」。老龙头是长城入海处，在关城东南。,今地是还能走进去的关城。1644年的战场在关城一带，不是老龙头那一块海边。城楼经过重修，看见的是后来的层。,吴三桂怎样开关、李自成怎样败，须回当时记录，不把后来的「卖国」评语写成事件名。清军入关与迁都北京不是同一天。,入关那一仗的关城，门还在。海边那一段不是主战场。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Shanhaiguan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Shanhaiguan.jpg/960px-Shanhaiguan.jpg,CC BY 2.0,BenBenW,2009,1644年交战地点与关城、石河的对应；《世祖实录》入关条次,32,3
QH-ST-0009,QH-E-04,QH-P-000001,雅克萨之战,康熙二十四年、二十五年，清军两次进攻黑龙江上的雅克萨。康熙二十八年《尼布楚条约》后，俄方拆城，这一带划归清朝。,俄罗斯阿穆尔州斯科沃罗季诺区阿尔巴津诺村。江对岸是中国黑龙江。地面上主要是考古探方，不是完整城堡。,今地对照，不是战报。17世纪木城已经拆掉。照片是2010年代在阿尔巴津诺故城址上的发掘。19世纪《瑷珲条约》后，江左岸才长期归俄。不要写成「一直在俄国」。,两次战役的日程、兵力、条约文本须回《圣祖实录》与条约原件。发掘现场不能倒推1685年的城墙。对岸中国一侧另有纪念设施，不是这座城。,清军在此两度攻城。木城早已拆毁，遗址在对岸的俄国村子里。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:%D0%90%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%80%D0%B0%D1%81%D0%BA%D0%BE%D0%BF%D0%BA%D0%B8_%D0%BD%D0%B0_%D0%BC%D0%B5%D1%81%D1%82%D0%B5_%D0%90%D0%BB%D0%B1%D0%B0%D0%B7%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B3%D0%B0_(2014_%D0%B3.).JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/%D0%90%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%80%D0%B0%D1%81%D0%BA%D0%BE%D0%BF%D0%BA%D0%B8_%D0%BD%D0%B0_%D0%BC%D0%B5%D1%81%D1%82%D0%B5_%D0%90%D0%BB%D0%B1%D0%B0%D0%B7%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B3%D0%B0_%282014_%D0%B3.%29.JPG/960px-%D0%90%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%80%D0%B0%D1%81%D0%BA%D0%BE%D0%BF%D0%BA%D0%B8_%D0%BD%D0%B0_%D0%BC%D0%B5%D1%81%D1%82%D0%B5_%D0%90%D0%BB%D0%B1%D0%B0%D0%B7%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B3%D0%B0_%282014_%D0%B3.%29.JPG,CC BY-SA 4.0,Albazino,2013,《圣祖实录》两次进攻条次；尼布楚约文与拆城；故城精确坐标,35,9
QH-ST-0004,QH-E-04；QH-E-06；QH-E-09,QH-P-000001；QH-P-000019；QH-P-000056,圆明园被焚掠,康熙始建、乾隆大扩。咸丰十年英法联军焚掠后，只剩遗址。,北京市海淀区圆明园遗址公园。游客最常拍的是西洋楼大水法一带残石。,今地是遗址公园，不是复原宫殿。残石记录的是被毁之后的层，不能用来想象乾隆朝的完整园景。1860年的经过须回档案与当时记录。,不要把遗址公园的游览路线写成当年路线。西洋楼只是园中一区。,万园之园，今天能看见的是残石。,S二手索引,绿,"https://commons.wikimedia.org/wiki/File:Old_Summer_Palace,_Ruins_of_Guan_Shuifa.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Old_Summer_Palace%2C_Ruins_of_Guan_Shuifa.jpg/960px-Old_Summer_Palace%2C_Ruins_of_Guan_Shuifa.jpg,CC BY-SA 3.0,Clee7903,2005,焚园逐日记录与《咸丰实录》对应；西洋楼与九州景区的分别,40,5
