file,dynasty,reign,kind,required,unique,min_count
qing-emperors.csv,qing,,emperors,"emperor_id;规范名;年号或通称;庙号;生年;卒年;在位起;在位止;在位年数;清史稿本纪;故宫人物页;皇子序;谥号",emperor_id,12
qing-emperor-research-cards.csv,qing,,research_cards,"person_id;legacy_emperor_id;姓名;故宫人物页",person_id,12
emperor-portraits.csv,qing,,portraits,"visual_id;emperor_id;对象标题;文件页;权利颜色;可公开展示;展示角色;关键标注;画面解析",visual_id,
image-regions.csv,qing,,image_regions,"region_id;visual_id;region_label;x;y;w;h;assertion_id;evidence_stance",region_id,
iiif-manifests.csv,qing,,iiif_manifests,"visual_id;iiif_manifest",visual_id,
entity-id-crosswalk.csv,qing,,crosswalk,"person_id;legacy_emperor_id;canonical_name;status","legacy_emperor_id;person_id",12
phase0-people.csv,qing,,people,"person_id;分组;规范名;人物类型",person_id,106
source-rights-ledger.csv,qing,,sources,"source_id;机构或资源;证据等级;权利颜色;资源网址",source_id,27
qing-emperor-source-index.csv,qing,,source_index,"index_id;emperor_id;资源名称;访问网址",index_id,
task-queue.csv,qing,,tasks,"task_id;emperor_id;任务;状态;优先级",task_id,
controlled-vocabularies.csv,shared,,vocab,"scheme_code;term_code;中文标签",,125
kangxi-source-units.csv,qing,kangxi,source_units,"source_unit_id;source_entity_id;史料名;卷次;证据等级;直接记录网址",source_unit_id,18
kangxi-source-claims.csv,qing,kangxi,source_claims,"Assertion ID;主体 ID;谓词/关系;来源实体 ID;支持引文;公历下界;公历上界;状态;复核日期",Assertion ID,120
yongzheng-source-units.csv,qing,yongzheng,source_units,"source_unit_id;source_entity_id;史料名;卷次;证据等级;直接记录网址",source_unit_id,13
yongzheng-source-claims.csv,qing,yongzheng,source_claims,"Assertion ID;主体 ID;谓词/关系;来源实体 ID;支持引文;公历下界;公历上界;状态;复核日期",Assertion ID,38
golden-questions.csv,qing,,questions,"question_id;类别;问题;期望行为;路由",question_id,64
chapters.csv,qing,,chapters,"chapter_id;slug;person_id;era;title;file;lede","chapter_id;slug",31
side-lanes.csv,qing,,lanes,"lane_id;栏目;标题;通行说法;官书或档案怎么写;差异或读法;证据状态;权利颜色;使用说明",lane_id,
kangxi-empress-timeline.csv,qing,kangxi,empress_timeline,"event_id;person_id;当时称号;事件类型;来源单元;引文;回查状态",event_id,19
kangxi-princes.csv,qing,kangxi,princes,"person_id;表序;收录状态;规范名;父亲ID",person_id,35
kangxi-princesses.csv,qing,kangxi,princesses,"person_id;表序;规范名;收录状态",person_id,21
kangxi-heir-chain.csv,qing,kangxi,heir_chain,"event_id;person_id;阶段;事件类型;来源单元;引文;回查状态",event_id,18
historic-sites.csv,qing,,sites,"site_id;事件;当时;今日;今地说明;边界;卡片钩子;证据状态;权利颜色;文件页",site_id,
imperial-works.csv,qing,,works,"work_id;emperor_id;文献名称;文献类型;成书年代;卷数;证据状态;open_state;source_unit_ids",work_id,
emperor-chronicle.csv,qing,kangxi,chronicle,"entry_id;emperor_id;层级;事件类型;标题;原纪年;主张IDs;年号级收录;排序键",entry_id,16
source-families.csv,qing,,families,"family_id;名称;derives_from;独立性说明",family_id,
conflict-sets.csv,qing,,conflict_sets,"conflict_set_id;议题;冲突维度;现行编辑判断;判断依据主张;保留意见",conflict_set_id,
community-corrections.csv,qing,,community_corrections,"correction_id;位置ID;纠错内容;状态",correction_id,
overviews.csv,qing,,overview,"overview_id;slug;title;file;lede",overview_id,5
emperor-timeline.csv,qing,,emperor_timeline,"timeline_id;emperor_id;year;reign_year;event;status;source_refs;claim_ids",timeline_id,92
qianlong-source-units.csv,qing,qianlong,source_units,"source_unit_id;source_entity_id;史料名;卷次;证据等级;直接记录网址",source_unit_id,3
qianlong-source-claims.csv,qing,qianlong,source_claims,"Assertion ID;主体 ID;谓词/关系;来源实体 ID;支持引文;公历下界;公历上界;状态;复核日期",Assertion ID,6
jiaqing-source-units.csv,qing,jiaqing,source_units,"source_unit_id;source_entity_id;史料名;卷次;证据等级;直接记录网址",source_unit_id,3
jiaqing-source-claims.csv,qing,jiaqing,source_claims,"Assertion ID;主体 ID;谓词/关系;来源实体 ID;支持引文;公历下界;公历上界;状态;复核日期",Assertion ID,13
