Assertion ID,主张类型,主体 ID,谓词/关系,客体 ID 或值,原始时间表达,公历下界,公历上界,确定性,状态,来源实体 ID,卷页/档号/图像定位,支持引文,证据立场,证据直接性,证据强度,来源家族 ID,冲突组 ID,获取方式,录入人,复核人,复核日期,编辑备注
QH-A-YZ-0001,事件发生,QH-P-000001,ill_at,畅春园,康熙六十一年十一月,1722-12-08,1722-12-20,确定,审核中,QH-SU-YZ-QSG-0009A,卷9；康熙六十一年十一月,聖祖在暢春園不豫,支持,明确记载,中,QH-SF-QSG,QH-CF-KX-SUCCESSION,结构化导入,AI,,,本纪九写畅春园不豫。圣祖实录崩逝条只写寝宫。世宗实录甲午条已钉：先是戊子不豫回驻，甲午戌刻宾天。三层并存，不得用本条改写 QH-A-KX-0037。原纪年只到月；公历用十一月朔至甲午崩日。后出本纪不作终审。
QH-A-YZ-0002,事件发生,QH-P-000001,illness_became_critical,疾大渐并宣诏嗣位,康熙六十一年十一月甲午,1722-12-20,1722-12-20,确定,审核中,QH-SU-YZ-QSG-0009A,卷9；康熙六十一年十一月甲午,甲午，聖祖大漸，召於齋宮，宣詔嗣位,支持,明确记载,中,QH-SF-QSG,QH-CF-KX-SUCCESSION,结构化导入,AI,,,甲午即十一月十三日，与实录崩日同。本纪写召于斋宫、宣诏嗣位，未写御榻口谕名单，也未写改诏。改诏说见对照栏，不入本条。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0003,事件发生,QH-P-000001,died_on,崩,康熙六十一年十一月甲午,1722-12-20,1722-12-20,确定,审核中,QH-SU-YZ-QSG-0009A,卷9；康熙六十一年十一月甲午,聖祖崩,支持,明确记载,中,QH-SF-QSG,QH-CF-KX-SUCCESSION,结构化导入,AI,,,本纪九将崩写在甲午，未写寝宫或戌刻。时刻与屋子以实录 QH-A-KX-0037 为准，不互相覆盖。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0004,事件发生,QH-P-000002,accession_occurred,即皇帝位,康熙六十一年十一月辛丑,1722-12-27,1722-12-27,确定,审核中,QH-SU-YZ-QSG-0009A,卷9；康熙六十一年十一月辛丑,辛丑，上即位,支持,明确记载,中,QH-SF-QSG,QH-CF-KX-SUCCESSION,结构化导入,AI,,,辛丑=十一月二十日，比甲午崩日晚七日。实录遗诏文本在十三日。即位礼与遗诏文本不是同一天，不能合成「即位与遗诏同一天」。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0005,文字或数值陈述,QH-P-000002,announced_next_reign_era,以明年为雍正元年,康熙六十一年十一月辛丑,1722-12-27,1722-12-27,确定,审核中,QH-SU-YZ-QSG-0009A,卷9；康熙六十一年十一月辛丑,以明年為雍正元年,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,1722年即位，1723年才是雍正元年。不得只留一个在位起年。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0006,事件发生,QH-P-000002,appointed_regency_council,贝勒胤禩；皇十三弟胤祥；大学士马齐；尚书隆科多,康熙六十一年十一月辛丑,1722-12-27,1722-12-27,确定,审核中,QH-SU-YZ-QSG-0009A,卷9；康熙六十一年十一月辛丑,命貝勒胤禩、皇十三弟胤祥、大學士馬齊、尚書隆科多總理事務,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,四人同日受命总理事务。人物ID：QH-P-000007、000011、000047、000048。不得写成八爷党或顾命大臣已证制度名。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0007,事件发生,QH-P-000002,recalled_to_capital,QH-P-000012,康熙六十一年十一月辛丑,1722-12-27,1722-12-27,确定,审核中,QH-SU-YZ-QSG-0009A,卷9；康熙六十一年十一月辛丑,召撫遠大將軍胤禵來京,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,召还不是定罪。本纪用胤禵。不得写成传位十四子失败。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0008,称号授予,QH-P-000007,invested_as_prince,廉亲王,康熙六十一年十二月壬戌,1723-01-17,1723-01-17,确定,审核中,QH-SU-YZ-QSG-0009B,卷9；康熙六十一年十二月壬戌,封貝勒胤禩為廉親王，胤祥為怡親王,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,同条并封胤祹履郡王、弘晰理郡王，不并入本条。胤祥封怡亲王见下条。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0009,称号授予,QH-P-000011,invested_as_prince,怡亲王,康熙六十一年十二月壬戌,1723-01-17,1723-01-17,确定,审核中,QH-SU-YZ-QSG-0009B,卷9；康熙六十一年十二月壬戌,封貝勒胤禩為廉親王，胤祥為怡親王,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,与廉亲王同日。不得写成雍正最信任的人已核心理判断。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
QH-A-YZ-0010,称号授予,QH-P-000048,appointed_as,吏部尚书,康熙六十一年十二月甲子,1723-01-19,1723-01-19,确定,审核中,QH-SU-YZ-QSG-0009B,卷9；康熙六十一年十二月甲子,隆科多為吏部尚書,支持,明确记载,中,QH-SF-QSG,,结构化导入,AI,,,甲子=十二月十三日。公历1723-01-19依甲午+干支差推算待历法库复核。当时已是尚书，此条是吏部尚书。后出本纪不作终审。公历依通行年表，待历法库复核。世宗实录条次未钉，不假装已回条次。
