task_id,emperor_id,数据包,任务,目标来源,预期产物,前置任务,状态,上次完成位置,未决问题,下一步动作,优先级,质量检查
TQ-0001,ALL,P1身份包,校正十二帝《清史稿》本纪卷次,维基文库《清史稿》目录,qing-emperors.csv卷次字段,,已完成,卷1—25全部对齐,,冻结映射并纳入自动校验,P0,已人工对照目录
TQ-0002,ALL,P1身份包,建立十二帝骨架,故宫宫廷世系＋《清史稿》目录,qing-emperors.csv,TQ-0001,已完成,12条人物已建,在位年份需拆分即位与年号口径,扩展到日期级事件,P0,12条且继承链连续
TQ-0003,ALL,P0来源包,登记每帝官方人物页和通用史料入口,故宫＋一史馆＋维基文库,qing-emperor-source-index.csv,TQ-0002,已完成,55条入口已登记；十二帝均有官方人物页与卷级本纪入口,各朝实录具体条次仍需继续回查,逐帝补实录版本与条次并持续清除占位入口,P0,已打开状态必须绑定真实HTTPS入口；禁止占位URL
TQ-0004,ALL,P5图像包,为十二帝登记一件公版画像或照片,Wikimedia Commons逐文件页,emperor-portraits.csv,TQ-0002,已完成,已改为每帝一张明黄朝服默认像，并补史迹、书法、朱批入口；乾隆默认图改用英文文件名,萨尔浒定点遗址照与具体原折朱批全文仍待逐件回查,继续核馆藏号并为康雍乾选定可登录的原折,P0,12张默认朝服像均有文件页与许可状态
TQ-0005,QH-E-04,P0来源包,建立康熙卷来源清单,《圣祖实录》《康熙起居注》玉牒目录与档案目录,康熙来源表,TQ-0003,进行中,已登记卷1即位条、卷234初废条次、卷237复立条、卷300崩逝条与遗诏条并核数字底本；钉卷58立太子丙寅条、卷56六月癸亥择吉条、卷251再废庚戌拘执谕与辛亥朱笔废谕；起居注入口登记为IDX-039/QH-W-056,可公开访问的起居注与玉牒范围不完整；起居注未打开原文,继续核起居注出版本卷册与玉牒公开入口,P0,三条来源均有卷年月日条次直接URL与底本说明
TQ-0006,QH-E-04,P1身份包,核对康熙姓名称号生卒即位崩逝,《圣祖实录》卷首卷末＋故宫人物页,20—30条原子主张,TQ-0005,进行中,已从即位、崩逝、遗诏三条拆38条审核中主张；崩逝条只写寝宫戌刻；kangxi-01已按样板重写并绑定卷1/卷300/本纪九,畅春园地名须另开来源；公历对照待历法库复核；满汉遗诏谱系见TQ-0019,请用户抽查QH-A-KX-0001/0014/0033/0037/0028五条,P0,38条均绑定来源单元且未冒充H1审核
TQ-0007,QH-E-04,P2家庭包,核对康熙四位皇后及追尊时间,《清史稿》卷214＋实录册立追谥条＋玉牒线索,皇后身份与称号时间轴,TQ-0005,进行中,已补孝昭 QH-P-000060；建19条称号时间轴与19条审核中主张；打开卷214、本纪六七九、实录卷48诏,玉牒未见；四年册后七月/九月冲突未裁；仁寿徽号后妃传未上册与本纪九崩条冲突；十六年十七年二十八年实录条次未钉韩国站,回核韩国站册后崩逝条；勿把孝恭写成康熙朝皇后,P0,四人皆有稳定ID；时态称号轴可浏览；冲突组保留；主张均审核中
TQ-0008,QH-E-04,P2家庭包,建立康熙皇子全表与多种排行口径,《清史稿》卷164＋实录＋玉牒线索,皇子人物表和关系边,TQ-0005,进行中,已录卷164：入序23人、缺号第四子、早薨11人；补胤祐等21人档；打开后妃传子女句作生母候选,玉牒未见；允琶/胤禑异写未裁；第十四子世表名胤禎与人物档胤禵并存,回核玉牒修次与实录封爵条；勿把表序写成自然序,P0,35行可浏览；第一子/长子冲突保留；主张均审核中
TQ-0009,QH-E-04,P2家庭包,建立康熙皇女和公主表,《清史稿》卷166＋实录册封条＋玉牒线索,皇女人物表和婚姻关系,TQ-0005,进行中,已按卷166录圣祖亲生女20人加抚育1人；荣宪沿用QH-P-000021；拆28条审核中主张；可读章 kangxi-08；站点 #/princesses,玉牒未见；册封下嫁实录条次未钉；多数生母与全部额驸尚未建档；策棱/策凌、两班第不自动合并,回核实录册封条；勿把追进固伦写成生前进封；勿把纯禧写成亲生第二十一女,P1,21行可浏览；未封12受封8抚育1；第三女为荣宪；主张均审核中
TQ-0010,QH-E-04,P3年表包,建立1661—1722统治年表,《圣祖实录》逐年目录＋《清史稿》卷6—8,40—60个事件,TQ-0006,未开始,,实录为官修史料不是原档,先按十年分段建任务,P0,
TQ-0011,QH-E-04,P4统治专题包,两废太子与储位事件链,《圣祖实录》＋起居注＋相关奏折目录,事件主张和冲突组,TQ-0008,进行中,已按本纪六/八、卷164、卷220拆清史稿层；实录卷56钉六月癸亥择吉（初六，不采通行初三说）；卷58钉丙寅册立；卷234钉乙亥驻跸、丁丑拘执、允祄薨、丁酉颁诏、戊戌允禔奏；卷237钉辛巳复立；卷251再废两日：庚戌拘执谕、辛亥朱笔废谕；样板章 #/chapter/kangxi-02；站点 #/succession,咸安宫：实录再废两条未见，本纪/列传有，最早出处待起居注；起居注只登记入口IDX-039未打开；不得把九子夺嫡写成单一事件,公开可定位起居注该日未打开（一史馆咨询入口 IDX-039 / QH-W-056）；站点已写明「本纪有、实录无、起居注未开」。勿用百科补地点。用户抽查主张后不得改已采纳,P0,22条事件均可回查短引文；三冲突组保留；主张均审核中；事件名不含九子夺嫡
TQ-0012,QH-E-04,P4统治专题包,三藩战争专题,《圣祖实录》＋平定三逆方略＋现代研究目录,事件与参与者网络,TQ-0010,未开始,,官方方略有编纂立场,先建时间线再加不同叙述,P1,
TQ-0013,QH-E-04,P4统治专题包,台湾与施琅专题,《圣祖实录》＋平台纪略等,事件和人物网络,TQ-0010,未开始,,术语与主权叙事需避免现代概念倒灌,先做来源登记,P1,
TQ-0014,QH-E-04,P4统治专题包,雅克萨与尼布楚条约专题,满汉俄多语文本目录＋《圣祖实录》,条约事件与异文,TQ-0010,未开始,,俄文拉丁文满文版本差异,先登记版本不自动翻译,P1,
TQ-0015,QH-E-04,P4统治专题包,噶尔丹战争专题,《圣祖实录》＋平定朔漠方略,事件参与者与地点,TQ-0010,未开始,,地名异写和现代坐标需核,先建原始地名表,P1,
TQ-0016,QH-E-04,P4统治专题包,河工财政蠲赋专题,《圣祖实录》＋会典＋户部档目录,制度主张,TQ-0010,未开始,,政策宣示与执行效果不可混写,分别建规范主张与效果证据,P1,
TQ-0017,QH-E-04,P4统治专题包,西学与礼仪之争专题,实录＋传教士书信目录＋现代研究,人物事件与冲突主张,TQ-0010,未开始,,跨语种二手转述风险,先建来源家族,P1,
TQ-0018,QH-E-04,P5文献图像包,核康熙代表画像原作馆藏与版本,Commons文件页＋馆方对象页,图像对象记录,TQ-0004,已完成,；康熙朝服像核到故宫故00006396、雍正朝服像核到故00006431（Commons 文件页著录）；乾隆朝服像核到故宫藏郎世宁1736（登录号未著录）；选定可登录原折：康熙E04H、雍正E05I（雍正亲笔朱批马会伯摺）、乾隆E06L（杨廷璋等奏进铜板图样摺），均绿标缓存,乾隆朝服像故宫登录号未著录；E05I/E06L 档号与确切日期待核,随台北故宫或一史馆公开目录补档号,P0,
TQ-0019,QH-E-04,P6争议审计包,建立康熙遗诏与雍正即位冲突组,遗诏满汉文本＋实录＋起居注＋档案目录,8—12张争议卡片,TQ-0011,未开始,,改诏说各版本需追溯最早来源,先只登记可见文本和主张者,P0,
TQ-0020,QH-E-05,P0来源包,建立雍正卷来源清单,《世宗实录》朱批谕旨起居注册档案目录,雍正来源表,TQ-0003,进行中,已打开《清史稿》卷9本纪与卷295隆科多年羹尧传；拆主张并按样板重写 yongzheng-01；钉世宗实录卷1即位辛丑礼与诏、卷159崩逝己丑条、卷39年案甲戌条、卷62十月五日第2/3条隆科多狱辞（四十一款、畅春园外造屋三间）、卷120六月二十六日第1/1条恤赠策勒克；已补 IDX-056至061,朱批谕旨、起居注、《大义觉迷录》原文均未拆；七年军机房、八年办理军机处尚未打开实录或会典；十年恤赠未见始设句,七年军机房须另开实录或会典，不得用十年恤赠改写成始设；再拆朱批谕旨入口,P0,主张均审核中；冲突组保留；章已绑定本纪列传与已钉实录单元
TQ-0021,ALL,P5文献包,建立《清史稿》帝后皇子公主索引,卷1—25卷161—167卷214,章节索引表,TQ-0001,进行中,已定位本纪卷次与卷164—166卷214；圣祖四后、皇子表、公主表已拆到人物,他帝公主细目尚未拆到人物,可转入他帝公主或《世宗实录》条次回核,P0,圣祖公主表21行已绑定人物ID
TQ-0022,ALL,P5玉牒包,建立公开玉牒资源和版本目录,一史馆宗人府目录＋公开馆藏说明,玉牒来源目录,TQ-0003,未开始,；版本级目录已立：1921 年玉牒藏一史馆分满汉文本，康雍起居注出版本入口登记（QH-W-055/056/057）,康雍玉牒具体卷册卷页与合法核验路径仍阻塞；起居注出版信息待核,先做版本级目录与待核状态,P0,
TQ-0023,ALL,P7发布包,生成十二帝本地导航页,结构化CSV＋公版画像,静态本地页面,TQ-0004,进行中,已建立 site/ 研究稿工作台：十二帝、116人、201条主张、四后时间轴、皇子表、皇女表、储位链、52篇可读章节、真迹手稿页、74道问题、71种帝王文献、来源台账与证据抽屉,叙事不得把索引级家庭写成已核验关系；画像绿标只说明权利层；崩逝条不得改写成畅春园；孝恭不得写成康熙朝皇后；表序不得写成玉牒；九子夺嫡不得当单一事件；雍正崩条不得写入丹药；追进固伦不得写成生前进封；纯禧不得写成亲生,每次改 CSV 后运行校验与构建并抽查检索和查看依据,P1,骨架可浏览；2条正式采纳、其余保持审核中；69道黄金问题已上线待走查
TQ-0024,ALL,P6质量包,建立自动一致性检查,全部CSV,ID重复外键卷次许可状态报告,TQ-0004,已完成,已建立零依赖校验脚本并覆盖行数唯一ID卷次许可引用,需随新数据持续扩展规则,每次改表后运行node scripts/validate-data.mjs,P0,脚本失败即禁止重建发布工作簿
TQ-0025,ALL,P1身份包,统一十二帝人物ID,QH-E展示表＋QH-P人物表,entity-id-crosswalk.csv与迁移后人物表,TQ-0002,已完成,十二条crosswalk均已落入phase0-people；九位缺失皇帝补为QH-P-000051至000059,QH-E仅保留为展示兼容ID；后续关系与主张一律使用QH-P,由validator持续检查crosswalk人物主表覆盖,P0,12条crosswalk全部有且仅有一条人物主表记录
TQ-0026,ALL,P6争议审计包,建立后宫侧记野史对照与罕读入口,实录档案笔记与馆藏规则,side-lanes.csv,TQ-0004,进行中,已建21条三栏：后宫8野史7罕读6；九子夺嫡对照接到储位链,野史不得升格为事实；罕读只给入口不镜像,继续为康雍后妃打开实录册封条并补满文档号,P1,三栏可浏览且证据状态与权利颜色齐全
TQ-0027,QH-E-05,P3世系包,回查雍正皇子表皇女表后妃时态轴,维基文库《清史稿》卷165皇子世表世宗系＋卷167公主表＋卷214后妃传世宗段＋《世宗实录》,yongzheng-princes.csv·yongzheng-princesses.csv·yongzheng-empress-timeline.csv,,未开始,,须先回目录核对卷次；生母表序封号时态一律回原文,按 docs/08 模板逐条建行并以 S二手索引 状态起步,P2,引文与世表摘要照录原文；未源核不得升级
