entry_id,emperor_id,层级,parent_id,事件类型,标题,说明,原纪年,公历下界,公历上界,精度,主张IDs,来源单元,冲突组,今地ID,章节slug,年号级收录,排序键
QH-CR-KX-0001,QH-E-04,era,,即位,即位，并宣布明年改元,顺治十八年正月初九即位。同日宣布明年为康熙元年。即位日不是康熙元年。,顺治十八年正月初九日,1661-02-07,1661-02-07,日,QH-A-KX-0001；QH-A-KX-0014,QH-SU-KX-0001,,,kangxi-01,是,1661-02-07
QH-CR-KX-0002,QH-E-04,era,,册后,册赫舍里氏为皇后,后妃传写四年七月。本纪写四年九月辛卯。两说都在。,康熙四年,1665-08-11,1665-10-16,月,QH-A-KX-0039；QH-A-KX-0040,QH-SU-QSG-0214；QH-SU-QSG-0006,QH-CF-KX-EMPRESS-DATE,,kangxi-03,是,1665-08-11
QH-CR-KX-0003,QH-E-04,era,,生育崩逝,皇后崩，胤礽生,本纪：五月丙寅，皇子胤礽生，皇后赫舍里氏崩。同日两件事，不并成因。,康熙十三年五月丙寅,1674-06-06,1674-06-06,日,QH-A-KX-0041；QH-A-KX-0042,QH-SU-QSG-0214；QH-SU-QSG-0006,,,kangxi-03,是,1674-06-06
QH-CR-KX-0004,QH-E-04,era,,择吉,谕礼部择吉立太子,六月癸亥让礼部选日子。不是十二月册立当天。,康熙十四年六月癸亥,1675-07-28,1675-07-28,日,QH-A-KX-0124,QH-SU-KX-0056A,,,kangxi-02,是,1675-07-28
QH-CR-KX-0005,QH-E-04,era,,立储,册立皇太子,实录、本纪作十二月丙寅。列传作乙丑。差一天。,康熙十四年十二月,1676-01-26,1676-01-27,日,QH-A-KX-0121；QH-A-KX-0070；QH-A-KX-0071,QH-SU-KX-0058A；QH-SU-QSG-0006,QH-CF-KX-INVEST-DAY,,kangxi-02,是,1676-01-27
QH-CR-KX-0006,QH-E-04,era,,册后,册钮祜禄氏皇后，佟佳氏贵妃,同日两条身份：一个是皇后，一个是贵妃。,康熙十六年八月丙寅,1677-09-18,1677-09-18,日,QH-A-KX-0045；QH-A-KX-0046,QH-SU-QSG-0006,,,kangxi-03,是,1677-09-18
QH-CR-KX-0007,QH-E-04,era,,崩逝,皇后钮祜禄氏崩,本纪把崩与初谥写在同一日条。,康熙十七年二月丁卯,1678-03-18,1678-03-18,日,QH-A-KX-0047,QH-SU-QSG-0006,,,kangxi-03,是,1678-03-18
QH-CR-KX-0008,QH-E-04,era,,生育,德妃乌雅氏生胤禛,当时她是德妃，不是皇后。孝恭两个字是后来的。,康熙十七年十月丁酉,1678-12-13,1678-12-13,日,QH-A-KX-0051,QH-SU-QSG-0214,,,kangxi-03,是,1678-12-13
QH-CR-KX-0009,QH-E-04,era,,安葬,葬仁孝、孝昭于昌瑞山陵,本纪用昌瑞山陵。陵名异写待陵寝专题。,康熙二十年三月辛酉,1681-04-18,1681-05-16,月,QH-A-KX-0048,QH-SU-QSG-0006,,QH-ST-0021,kangxi-03,是,1681-04-18
QH-CR-KX-0010,QH-E-04,era,,册后崩逝,册佟氏皇后，翌日崩,癸卯册后。甲辰崩。不是同一天。,康熙二十八年七月癸卯至甲辰,1689-08-23,1689-08-24,日,QH-A-KX-0049；QH-A-KX-0050,QH-SU-QSG-0007,,,kangxi-03,是,1689-08-23
QH-CR-KX-0011,QH-E-04,era,,初废,初废：先拘执，后颁诏,丁丑拘执。丁酉颁诏。中间隔了二十天。世表作四十六年废。,康熙四十七年九月,1708-10-17,1708-11-06,日,QH-A-KX-0086；QH-A-KX-0089；QH-A-KX-0074,QH-SU-KX-0234B；QH-SU-KX-0234D,QH-CF-KX-DEPOSE-YEAR,,kangxi-02,是,1708-10-17
QH-CR-KX-0012,QH-E-04,era,,议储释放,请立胤禩不许；释放废太子,放出不是再授册宝。复立是明年三月的事。,康熙四十七年十一月,1708-12-25,1708-12-27,日,QH-A-KX-0078；QH-A-KX-0079,QH-SU-QSG-0008,,,kangxi-02,是,1708-12-25
QH-CR-KX-0013,QH-E-04,era,,复立,授册宝，复立为皇太子,本纪与实录同日。,康熙四十八年三月辛巳,1709-04-19,1709-04-19,日,QH-A-KX-0092；QH-A-KX-0080,QH-SU-KX-0237A；QH-SU-QSG-0008,,,kangxi-02,是,1709-04-19
QH-CR-KX-0014,QH-E-04,era,,再废,再废两日,庚戌拘执，没有废字。辛亥朱书才写废。咸安宫，实录这两天没有。,康熙五十一年九月三十至十月初一,1712-10-29,1712-10-30,日,QH-A-KX-0122；QH-A-KX-0123,QH-SU-KX-0251A；QH-SU-KX-0251B,QH-CF-KX-DEPOSE2-MONTH,,kangxi-02,是,1712-10-29
QH-CR-KX-0015,QH-E-04,era,,告庙,再废告庙,告庙在十一月。不是再废当天。,康熙五十一年十一月丁未,1712-12-25,1712-12-25,日,QH-A-KX-0083,QH-SU-QSG-0008,,,kangxi-02,是,1712-12-25
QH-CR-KX-0016,QH-E-04,era,,崩逝遗诏,疾大渐、口谕、戌刻崩、同日遗诏,地点用寝宫。口谕点名的人，当时不在御榻名单。,康熙六十一年十一月十三日,1722-12-20,1722-12-20,日,QH-A-KX-0029；QH-A-KX-0033；QH-A-KX-0037；QH-A-KX-0028,QH-SU-KX-0300A；QH-SU-KX-0300,QH-CF-KX-SUCCESSION,QH-ST-0013,kangxi-01,是,1722-12-20
