person_id,legacy_emperor_id,姓名,庙号,年号,在位口径,父亲,生母或母系说明,主要皇后或配偶候选,主要子女候选,重大事件骨架,必须保留的争议或边界,清史稿本纪,实录或政纪卷数,故宫人物页,证据状态,审核层级,说明
QH-P-000051,QH-E-01,爱新觉罗·努尔哈赤,太祖,天命,后金汗1616—1626,爱新觉罗·塔克世,喜塔腊氏额穆齐,孝慈高皇后叶赫那拉氏；乌拉那拉氏曾追谥孝烈武皇后后撤谥,褚英；代善；莽古尔泰；皇太极；阿济格；多尔衮；多铎；东果格格；莽古济,统一女真诸部；创制满文；整编八旗；建立后金；七大恨；萨尔浒；迁辽阳沈阳；宁远败退,1616身份应记汗而非直接套后世皇帝称号；宁远炮伤与死因；乌拉那拉氏殉死情形；前三朝实录反复改写,卷1太祖本纪,《太祖高皇帝实录》首卷3正文10卷；另有《满洲实录》,https://www.dpm.org.cn/court/lineage/226250.html,S二手索引,M1 AI回查,身份家庭字段为索引级；关系边仍须逐条回查玉牒实录档案
QH-P-000052,QH-E-02,爱新觉罗·皇太极,太宗,天聪；崇德,后金汗及清帝1626—1643；1636改国号称帝,爱新觉罗·努尔哈赤,叶赫那拉氏孝慈高皇后,孝端文皇后博尔济吉特氏；孝庄文皇后为后世追尊,豪格；硕塞；高塞；常舒；福临；博穆博果尔；马喀塔等,强化汗权；建六部内三院；蒙古八旗汉军八旗；改女真为满洲；1636称帝改国号；两征朝鲜；松锦之战,1626汗位与1636帝位必须分开；继位推举或预定；皇太极词源与原始满文；猝死原因；实录删改,卷2—3太宗本纪,《太宗文皇帝实录》首卷3正文65卷,https://www.dpm.org.cn/court/lineage/226251.html,S二手索引,M1 AI回查,称号和政权名称必须时态化
QH-P-000053,QH-E-03,爱新觉罗·福临,世祖,顺治,1643即位；顺治纪年1644—1661,爱新觉罗·皇太极,博尔济吉特氏孝庄文皇后,废后博尔济吉特氏；孝惠章皇后；孝献皇后董鄂氏与孝康章皇后佟佳氏为追尊,牛钮；福全；玄烨；荣亲王；常宁；奇绶；隆禧；永干；恭悫长公主等,幼帝即位；多尔衮摄政；入关迁都；追击农民军和南明；剃发圈地逃人法；亲政后追罪多尔衮,顺治出家说不可当事实；董鄂妃身份争论；遗诏形成；最终谥号异文需以册宝神牌定本,卷4—5世祖本纪,《世祖章皇帝实录》首卷3正文144卷,https://www.dpm.org.cn/court/lineage/226262.html,S二手索引,M1 AI回查,即位年份与入关后纪年分开
QH-P-000001,QH-E-04,爱新觉罗·玄烨,圣祖,康熙,1661即位；康熙纪年1662—1722,爱新觉罗·福临,佟佳氏孝康章皇后,孝诚仁皇后赫舍里氏；孝昭仁皇后钮祜禄氏；孝懿仁皇后佟佳氏；孝恭仁皇后乌雅氏,胤禔；胤礽；胤祉；胤禛；胤祺；胤祐；胤禩；胤禟；胤䄉；胤祹；胤祥；胤禵；荣宪公主；恪靖公主等,除鳌拜；平三藩；收台湾；雅克萨与尼布楚条约；三征噶尔丹；河工蠲赋；西学；两废太子,雍正继位遗诏形成与宣读；九子夺嫡是后世概括须拆成立废复立再废；立储乙丑/丙寅、初废四十六/四十七年、再废九月/十月冲突均保留；康乾盛世评价需并列成本；礼仪之争,卷6—8圣祖本纪,《圣祖仁皇帝实录》首卷3正文300卷,https://www.dpm.org.cn/court/lineage/226256.html,S二手索引,M1 AI回查,当前深挖主卷；储位链已按日拆分，主张均审核中；后续仍须回实录条次
QH-P-000002,QH-E-05,爱新觉罗·胤禛,世宗,雍正,1722即位；雍正纪年1723—1735,爱新觉罗·玄烨,乌雅氏孝恭仁皇后；孝懿仁皇后佟佳氏为重要抚养者不能等同生母,孝敬宪皇后乌拉那拉氏；孝圣宪皇后钮祜禄氏为追尊,弘晖；弘时；弘历；弘昼；福惠；怀恪公主,宗室重组；秘密建储；摊丁入亩；耗羡归公养廉银；改土归流；青海西藏治理；军机机构；整肃年羹尧隆科多诸弟,即位合法性须分遗诏临终传谕与后世改诏说；军机处成立口径；死亡与丹药；严刑和文字案,卷9世宗本纪,《世宗宪皇帝实录》首卷3正文159卷,https://www.dpm.org.cn/court/lineage/226259.html,S二手索引,M1 AI回查,与康熙卷共享人物和继承事件
QH-P-000019,QH-E-06,爱新觉罗·弘历,高宗,乾隆,1735即位；乾隆纪年1736—1795；1796禅位后掌权至1799,爱新觉罗·胤禛,钮祜禄氏孝圣宪皇后,孝贤纯皇后富察氏；继皇后那拉氏无谥且丧仪降格；孝仪纯皇后魏佳氏为追尊,永璜；永琏；永璋；永珹；永琪；永瑢；永璇；永瑆；永琰；永璘；和敬公主；和孝公主等,平准噶尔及天山南路；大小金川等战争；新疆治理；四库全书；文字狱禁毁书；南巡；马戛尔尼使团；禅位,出生地争议；十全武功评价；准噶尔人口灾难；禁毁书数量；禅位后实际权力,卷10—15高宗本纪,《高宗纯皇帝实录》首卷5正文1500卷,https://www.dpm.org.cn/court/lineage/226263.html,S二手索引,M1 AI回查,在位与实际执政必须拆分
QH-P-000054,QH-E-07,爱新觉罗·颙琰,仁宗,嘉庆,1796—1820；1796—1799受太上皇训政制约,爱新觉罗·弘历,魏佳氏孝仪纯皇后,孝淑睿皇后喜塔腊氏；孝和睿皇后钮祜禄氏,穆郡王；旻宁；绵恺；绵忻；绵愉；庄敬公主；庄静公主；慧安公主等,接受内禅；乾隆死后诛和珅；整顿吏治；白莲教；海盗问题；陈德行刺；天理教攻宫；阿美士德使团,1796—1799名义在位与实际权力；永琰避讳改颙琰；猝死病因；反腐叙事需拆制度和个案,卷16仁宗本纪,《仁宗睿皇帝实录》首卷4正文374卷,https://www.dpm.org.cn/court/lineage/226238.html,S二手索引,M1 AI回查,太上皇训政为独立权力状态
QH-P-000055,QH-E-08,爱新觉罗·旻宁,宣宗,道光,1820即位；道光纪年1821—1850,爱新觉罗·颙琰,喜塔腊氏孝淑睿皇后,孝穆成皇后；孝慎成皇后；孝全成皇后；孝静成皇后,奕纬；奕纲；奕继；奕詝；奕誴；奕訢；奕譞；奕詥；奕譓；寿安公主；寿恩公主等,漕运盐政财政；禁烟与林则徐；第一次鸦片战争；南京条约及后续条约；内乱渐增；秘密立储,绵宁避讳改旻宁机制；禁烟到开战政策摇摆；节俭故事须核档；继承竞争故事后世加工；孝静成皇后追尊过程,卷17—19宣宗本纪,《宣宗成皇帝实录》首卷5正文476卷,https://www.dpm.org.cn/court/lineage/226239.html,S二手索引,M1 AI回查,名称变化必须带有效时间
QH-P-000056,QH-E-09,爱新觉罗·奕詝,文宗,咸丰,1850即位；咸丰纪年1851—1861,爱新觉罗·旻宁,钮祜禄氏孝全成皇后,孝德显皇后萨克达氏；孝贞显皇后钮祜禄氏；孝钦显皇后叶赫那拉氏,载淳；悯郡王；荣安固伦公主,太平天国与捻军；启用曾国藩及地方军；第二次鸦片战争；天津北京条约；圆明园被焚掠；避热河；赞襄政务王大臣,北狩与逃离北京的叙述立场；对外失败责任；两宫印章与八大臣权力设计；不能以后来权势倒推慈禧咸丰朝影响,卷20文宗本纪,《文宗显皇帝实录》首卷4正文356卷,https://www.dpm.org.cn/court/lineage/226247.html,S二手索引,M1 AI回查,重大事件需区分皇帝决策与制度责任
QH-P-000057,QH-E-10,爱新觉罗·载淳,穆宗,同治；祺祥仅拟用后改,1861即位；同治纪年1862—1874；阳历卒于1875,爱新觉罗·奕詝,叶赫那拉氏孝钦显皇后,孝哲毅皇后阿鲁特氏,无子女,辛酉政变；两宫垂帘；镇压太平军捻军及西北起事；洋务运动；所谓同治中兴；天津教案；1873亲政,公历死年与传统纪年；官方死因天花而梅毒说多属晚出；真实决策空间；同治中兴价值判断；阿鲁特氏死因,卷21—22穆宗本纪,《穆宗毅皇帝实录》首卷4正文374卷,https://www.dpm.org.cn/court/lineage/226248.html,S二手索引,M1 AI回查,祺祥是拟用年号不能并列为实际纪年
