work_id,emperor_id,文献名称,文献类型,编纂者/作者,成书年代,卷数,内容概述,证据状态,来源入口,备注,排序,dedicated_chapter,open_state,source_unit_ids
QH-W-001,QH-E-01,太祖高皇帝实录,实录,敕修,天聪九年始修、崇德元年(1636)成书；顺治康熙重修,首卷3＋正文10卷,努尔哈赤朝编年史。天聪九年始修、崇德元年成书，顺治、康熙朝多次重修。前三朝实录版本反复改写，是研究清初官方史学的重要线索。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,前三朝实录存在版本层叠；康熙重修本与崇德初修本差异待核,10,,L0,
QH-W-002,QH-E-01,满洲实录,实录/图说,敕修,乾隆朝重绘,8卷,满蒙汉三体合璧，配图。记始祖至太祖朝史事。乾隆朝据旧本重绘，是研究满族起源叙事的重要文献。,S二手索引,https://sillok.history.go.kr/mc/id/qsilok_001,与《太祖实录》文字有差异，图像层待核,20,,L0,
QH-W-003,QH-E-01,太祖高皇帝圣训,圣训,敕编,康熙二十五年,4卷,分类辑录努尔哈赤谕旨训示，分敬天、圣孝、神武等门类。,S二手索引,,,30,,L0,
QH-W-004,QH-E-02,太宗文皇帝实录,实录,敕修,顺治九年(1652)初修；康熙重修,首卷3＋正文65卷,皇太极朝编年史。天聪汗位（1626—1636）与崇德帝位（1636—1643）分记。1631年设六部，1636年文馆改内三院；两项制度变动不可压成同一年。也是研究改国号、蒙古八旗等变革的核心史料。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,天聪年间与崇德年间的纪年体制不同，需分开引用,40,,L0,
QH-W-005,QH-E-02,太宗文皇帝圣训,圣训,敕编,康熙朝,6卷,分类辑录皇太极谕旨，涵盖治国、用人、军事等方面。,S二手索引,,,50,,L0,
QH-W-006,QH-E-03,世祖章皇帝实录,实录,敕修,康熙十一年,首卷3＋正文144卷,顺治朝编年史。1643盛京即位及济尔哈朗、多尔衮辅政，1644入关迁都并再次登极，亲政后追罪多尔衮等关键节点均在此记录。是研究清入关初期政治的核心史料。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,顺治出家说不可据实录记载；实录对多尔衮的叙述存在后世修订,60,,L0,
QH-W-007,QH-E-03,世祖章皇帝圣训,圣训,敕编,康熙朝,6卷,分类辑录顺治谕旨，分论治、敬天、圣孝等门类。,S二手索引,,,70,,L0,
QH-W-008,QH-E-03,御制资政要览,御制,顺治帝撰,顺治十二年,3卷,顺治帝亲撰的政论著作，分君道、臣道、治道等三十章，阐述其治国理念。引经据典，反映顺治个人的汉学修养。,S二手索引,,顺治亲政后的代表性著作；与遗诏中「渐习汉俗」的自责形成对照,80,,L0,
QH-W-009,QH-E-03,御制劝善要言,御制,顺治帝撰,顺治十二年,1卷,顺治帝辑录儒家经典中关于劝善的格言，加以注释阐发。体现其推崇儒家伦理教化的立场。,S二手索引,,,90,,L0,
QH-W-010,QH-E-03,御制人臣儆心录,御制,顺治帝撰,顺治朝,1卷,专为诫谕臣工而作，阐述为臣之道与官箴。,S二手索引,,,100,,L0,
QH-W-011,QH-E-04,圣祖仁皇帝实录,实录,敕修,雍正九年,首卷3＋正文300卷,康熙朝编年史。清代在位最长的皇帝，实录卷帙浩繁，涵盖平三藩、收台湾、雅克萨、三征噶尔丹、两废太子等重大事件。是当前项目深挖的核心史料。,S二手索引,https://sillok.history.go.kr/mc/id/qsilok_005,本库已打开即位、崩逝、遗诏、择吉、初废、颁废、复立、再废等条次，并拆出主张。,110,,L3,QH-SU-KX-0001；QH-SU-KX-0300A；QH-SU-KX-0300；QH-SU-KX-0234A；QH-SU-KX-0234B；QH-SU-KX-0234C；QH-SU-KX-0234D；QH-SU-KX-0234E；QH-SU-KX-0237A；QH-SU-KX-0058A；QH-SU-KX-0251A；QH-SU-KX-0251B；QH-SU-KX-0056A
QH-W-012,QH-E-04,圣祖仁皇帝圣训,圣训,敕编,雍正九年,60卷,分类辑录康熙谕旨，卷帙在清代圣训中较大。涵盖圣德、圣孝、敬天、法祖、文教、武功等门类。,S二手索引,,,120,,L0,
QH-W-013,QH-E-04,圣祖仁皇帝御制文集,御制文集,康熙帝撰；张玉书等编,康熙朝陆续编成,176卷(四集),康熙帝的诗文总集，分四集（初集40卷、二集50卷、三集50卷、四集36卷）。包含论、序、记、碑文、诗等多种文体，是研究康熙思想与文治的重要一手材料。,S二手索引,,康熙个人著述的代表，与敕编类书性质不同,130,,L0,
QH-W-014,QH-E-04,康熙字典,敕编,张玉书、陈廷敬等奉敕纂,康熙五十五年,42卷,收字47035个，是中国古代收字最多的字典。按部首笔画编排，注音释义引书证，至今仍是阅读古籍的常用工具书。,S二手索引,https://ctext.org/library.pl?if=gb&res=77326,公版；后世有修订,140,,L0,
QH-W-015,QH-E-04,古今图书集成,敕编,陈梦雷初编；蒋廷锡等奉敕续编,康熙四十五年(1706)初编；雍正四年(1726)刊行,10000卷,中国古代规模最大的类书，分六汇编三十二典。陈梦雷在康熙朝始编，雍正即位后改由蒋廷锡主持。是跨康雍两朝的大型文化工程。,S二手索引,,虽是康熙朝始编，但最终刊行在雍正朝，归属需注明,150,,L0,
QH-W-016,QH-E-04,庭训格言,御制/语录,雍正帝辑录康熙训诲,雍正八年,1卷,雍正帝将康熙日常训诲辑录成书，分246条。内容涉及修身、治学、为政、养生等，是了解康熙帝个人思想与教子方式的直接材料。,S二手索引,,虽是雍正朝编成，但内容全属康熙教诲；是研究康熙的最直接语录体材料,160,,L0,
QH-W-017,QH-E-04,御选唐诗,敕编,康熙帝御选；陈廷敬等奉敕编注,康熙五十二年,32卷,康熙帝亲选唐诗，命儒臣注释。反映康熙个人的文学品味和以诗教化的理念。,S二手索引,,,170,,L0,
QH-W-018,QH-E-04,佩文韵府,敕编,张玉书等奉敕纂,康熙五十年,444卷,大型韵书兼辞书，按韵编排，收录词藻典故，是诗文写作的参考工具书。,S二手索引,,,180,,L0,
QH-W-019,QH-E-04,渊鉴类函,敕编,张英等奉敕纂,康熙四十九年,450卷,在明人《唐类函》基础上大幅扩充的类书，分四十五部。,S二手索引,,,190,,L0,
QH-W-020,QH-E-04,历象考成,敕编,康熙帝主持；允祉等奉敕纂,康熙五十二年,42卷,天文历法著作，结合西洋历法与中国传统星象。是康熙朝西学东渐在官方学术中的体现。,S二手索引,,与传教士南怀仁等的工作相关；见康熙西学章,200,,L0,
QH-W-021,QH-E-04,皇舆全览图,敕编,康熙帝主持；传教士测绘,康熙五十八年,全国地图,中国历史上第一次采用近代测绘方法绘制的全国地图，由传教士与中国学者合作完成。,S二手索引,,绘制过程与传教士来华背景相关,210,,L0,
QH-W-022,QH-E-05,世宗宪皇帝实录,实录,敕修,乾隆六年,首卷3＋正文159卷,雍正朝编年史。涵盖即位、秘密建储、耗羡归公、改土归流、军机处、年隆案等核心事件。本库已钉即位礼、崩逝、年羹尧案、隆科多狱辞与十年恤赠条次。,S二手索引,https://sillok.history.go.kr/mc/id/qsilok_006,即位礼、崩逝、年案、隆科多狱辞、十年恤赠已钉韩国站条次。十年恤赠未见始设句。七年军机房未钉。刻本朱批≠原折。崩逝条未写地点与死因。,220,,L3,QH-SU-YZ-QSL-0001A；QH-SU-YZ-QSL-0001B；QH-SU-YZ-QSL-0159A；QH-SU-YZ-QSL-0039A；QH-SU-YZ-QSL-0062A；QH-SU-YZ-QSL-0120A
QH-W-023,QH-E-05,世宗宪皇帝圣训,圣训,敕编,乾隆五年,36卷,分类辑录雍正谕旨，涵盖圣德、圣孝、文教、武功等门类。,S二手索引,,,230,,L0,
QH-W-024,QH-E-05,大义觉迷录,御制/谕旨汇编,雍正帝敕编,雍正七年,4卷,雍正朝最重要的政治宣传文献。将曾静案审讯过程、吕留良案相关上谕、雍正自辩（华夷之辨、继位合法性）汇编刊行天下。乾隆即位后立即禁毁。是研究雍正继位争议和清代华夷思想的独特文本。,S二手索引,https://zh.wikisource.org/wiki/%E5%A4%A7%E7%BE%A9%E8%A6%BA%E8%BF%B7%E9%8C%84,ctext 入口已失效（2026-08-15 确认该资料被删），改维基文库全文。治罪/磔市两日见《清史稿》高宗本纪（十月壬申、十二月甲申，C级）；禁毁上谕的实录条次待核。,240,yongzheng-04,L1,
QH-W-025,QH-E-05,朱批谕旨,谕旨汇编,雍正帝原批；乾隆三年选刻,乾隆三年,360卷,雍正帝亲笔批答臣工奏折的选编。朱批以直白、犀利著称，是了解雍正性格、行政风格和朝政决策的第一手材料。刻本与原折存在差异，台北故宫藏有原折。,S二手索引,https://qingarchives.npm.edu.tw/index.php?act=Landing%2Finformation,刻本有删选，不能等同于原折；网络段子常忽略刻本与原折的差异,250,,L1,
QH-W-026,QH-E-05,圣谕广训,御制,雍正帝撰,雍正二年,1卷,雍正帝对康熙《圣谕十六条》的逐条演绎，共万余言。颁发全国，要求地方官定期宣讲，是清代基层教化的重要文本。,S二手索引,,,260,,L0,
