person_id,表序,表序标签,收录状态,规范名,世表用名,异名,父亲ID,生母人物ID,生母候选名,生母来源,世表摘要,后妃传子女句,证据状态,冲突组 ID,排序键,备注
QH-P-000017,1,世宗第一子,入序正文,爱新觉罗·弘晖,弘暉,端亲王,QH-P-000002,QH-P-000036,孝敬宪皇后乌拉那拉氏,卷214孝敬传,世宗第一子。康熙四十三年薨，雍正十三年追封親王，諡曰端，無嗣,,S二手转述,,01,嫡长。后妃传孝敬条未单列此子句，子女句留空。
QH-P-000128,2,世宗第二子,入序正文,爱新觉罗·弘昀,弘昀,,QH-P-000002,QH-P-000039,齐妃李氏,卷214齐妃条,世宗第二子。早薨，無嗣,子三：弘盼、弘昀，皆殤；弘時。,S二手转述,,02,入序而早薨。玉牒未见。
QH-P-000018,3,世宗第三子,入序正文,爱新觉罗·弘时,弘時,,QH-P-000002,QH-P-000039,齐妃李氏,卷214齐妃条,世宗第三子。早薨，無嗣,子三：弘盼、弘昀，皆殤；弘時。,S二手转述,,03,表文只有早薨无嗣。削籍年月不在本表。不得补故宫年表。
QH-P-000019,4,世宗第四子,本卷缺号,爱新觉罗·弘历,,乾隆帝；高宗；宝亲王,QH-P-000002,QH-P-000037,孝圣宪皇后钮祜禄氏,卷214孝圣传,卷165无此行。子孙见卷165高宗系。,子一，高宗。,S二手转述,,04,与卷164缺第四子胤禛同体例。不能读成雍正无第四子。
QH-P-000020,5,世宗第五子,入序正文,爱新觉罗·弘昼,弘晝,和亲王,QH-P-000002,QH-P-000040,纯慤皇贵妃耿氏,卷214纯慤传,世宗第五子。雍正十一年封和親王，乾隆三十五年薨，諡曰恭,子一，弘晝。,S二手转述,,05,谥恭。后妃传作纯慤。人物档旧作纯懿，异写不合并谥号。
QH-P-000133,6,世宗第六子,入序正文,爱新觉罗·弘曕,弘曕,弘適；果恭郡王,QH-P-000002,QH-P-000134,谦妃刘氏,卷214谦妃条,世宗第六子，嗣胤禮後。乾隆三年襲果親王，二十八年緣事降貝勒，三十年復封果郡王，尋薨，諡曰恭,子一，弘適。,S二手转述,,06,过继允礼后。后妃传作弘適，世表作弘曕，两写并存。
QH-P-000129,,早薨未入序,早薨附列,爱新觉罗·弘昐,弘昐,弘盼,QH-P-000002,QH-P-000039,齐妃李氏,卷214齐妃条,世宗第六子。早薨,子三：弘盼、弘昀，皆殤；弘時。,S二手转述,,90,与入序第六子弘曕同称第六。后妃传作弘盼。不择一。
QH-P-000130,,早薨未入序,早薨附列,爱新觉罗·福宜,福宜,,QH-P-000002,QH-P-000038,敦肃皇贵妃年氏,卷214敦肃传,世宗第七子。早薨,子三：福宜、福惠、福沛，皆殤。,S二手转述,,91,年氏子。当时生母位号待册文。
QH-P-000131,,早薨未入序,早薨附列,爱新觉罗·福惠,福惠,怀亲王,QH-P-000002,QH-P-000038,敦肃皇贵妃年氏,卷214敦肃传,世宗第九子。雍正六年薨，十三年追封親王，諡曰懷，無嗣,子三：福宜、福惠、福沛，皆殤。,S二手转述,,92,表序第八未见，不补人。
QH-P-000132,,早薨未入序,早薨附列,爱新觉罗·福沛,福沛,,QH-P-000002,QH-P-000038,敦肃皇贵妃年氏,卷214敦肃传,世宗第十子。早薨,子三：福宜、福惠、福沛，皆殤。,S二手转述,,93,年氏子。玉牒未见。
