source_id,机构或资源,资源类型,证据等级,核心内容,访问方式,权利颜色,可本地保存,可公开展示,可商业使用,可模型训练,使用策略,限制摘要,资源网址,权利或规则网址,核查日期,下一动作,责任角色,状态
SRC-001,中国第一历史档案馆馆藏档案目录,原始档案目录,A1,清代中央国家机关及宫廷档案目录,线上检索与预约到馆,黄,仅保存自建元数据与研究笔记,仅展示自建元数据并外链,待逐项授权,否,目录发现与档号核验,网上可查不等于原档图像可复制再发布,https://fhac.com.cn/consult.html,https://fhac.com.cn/,2026-08-12,确认康熙晚年至雍正初年相关全宗与档号,AI,已核查
SRC-002,中国第一历史档案馆清实录全文检索,官修编年史数字文本,A2,《清实录》全文检索,线上免费检索,黄,仅保存必要引文定位与自建标注,小段合理引文并链接原站,待核权,否,用作检索入口并回查版本,免费检索不等于允许整库镜像或再发布全文,https://fhac.com.cn/search_fulltexts.html,https://fhac.com.cn/,2026-08-12,登记所用版本与卷页定位规则,AI,已核查
SRC-003,中国第一历史档案馆清会典全文检索,官修制度文献数字文本,A2,《清会典》全文检索,线上免费检索,黄,仅保存必要引文定位与自建标注,小段合理引文并链接原站,待核权,否,用于制度名物与职官核验,免费检索不等于允许整库镜像或再发布全文,https://fhac.com.cn/search_fulltexts.html,https://fhac.com.cn/,2026-08-12,建立版本与条目定位模板,ME,已核查
SRC-004,中国第一历史档案馆查档预约与阅览规则,访问规则,A1,原档调阅与数字档案阅览限制,官网说明与现场规则,红,否,否,否,否,只登记规则不抓取影像,数字档案现场阅览存在禁止拍摄等限制；必须以馆方当次规则为准,https://fhac.com.cn/detail/1308.html,https://fhac.com.cn/detail/1308.html,2026-08-12,由版权负责人书面确认项目取证方式,RM,待书面确认
SRC-005,国家档案局清代玉牒介绍,档案知识说明,B,玉牒的形制内容与保管背景,线上阅读,黄,保存链接与必要摘录,小段引文并链接,待核权,否,用于术语和来源背景；不代替玉牒原件,说明文章不是具体谱系关系的最终证据,https://www.saac.gov.cn/daj/dawxyc/201201/d9e6e3e05d3b4cb698712b308fa09c1e.shtml,https://www.saac.gov.cn/,2026-08-12,追查可用的具体玉牒版本与馆藏号,AH,已核查
SRC-006,台北故宫清代档案检索系统,原始档案数字影像与目录,A1,宫中档奏折与军机处档折件等,线上浏览无需账号,黄,仅保存自建元数据；影像下载须逐项核权,公开站仅外链或嵌入经许可内容,待逐项授权,否,首选原档发现与影像核对入口,能浏览不代表档案影像属于开放资料,https://qingarchives.npm.edu.tw/index.php?act=Landing%2Finformation,https://www.npm.gov.tw/Article.aspx?sNo=03001505,2026-08-12,建立目标档件清单并逐件登记权利,RM,已核查
SRC-007,台北故宫 Open Data,博物馆开放资料,视对象而定,明确纳入开放资料的书画器物图像与元数据,开放下载,绿,是但限明确标记的开放对象,是但须按所选分辨率许可,是但须遵守对应许可,待逐项判断,低阶图像优先 CC0；中阶图像按 CC BY 4.0 署名,清档系统影像不自动纳入此开放范围；必须逐对象核验,https://digitalarchive.npm.gov.tw/opendata,https://digitalarchive.npm.gov.tw/opendata,2026-08-12,筛选 Phase 0 可合法展示的帝后画像,RM,已核查
SRC-008,台北故宫宫中档奏折专题说明,馆藏专题说明,A1,宫中档奏折馆藏脉络与数量说明,线上阅读,黄,保存链接与必要摘录,小段引文并链接,待核权,否,用于理解档案系列与制定检索策略,专题页不是影像开放许可,https://theme.npm.edu.tw/selection/Article.aspx?sNo=04001049,https://www.npm.gov.tw/Article.aspx?sNo=03001505,2026-08-12,把相关档号回填到档案单元表,AH,已核查
SRC-009,台北故宫史馆档传包传稿专题说明,馆藏专题说明,A1,人物传记底稿与史馆档脉络,线上阅读,黄,保存链接与必要摘录,小段引文并链接,待核权,否,用于人物生平交叉核验和来源谱系识别,专题说明不能替代具体档件,https://theme.npm.edu.tw/selection/Article.aspx?sNo=04001050,https://www.npm.gov.tw/Article.aspx?sNo=03001505,2026-08-12,列出与 50 人样本相关的传包传稿,AH,已核查
SRC-010,中央研究院历史语言研究所内阁大库档案,原始档案目录与数字资源,A1,清代内阁档案目录与部分数字影像,线上检索；部分功能受规则限制,黄,仅保存自建元数据与获准下载内容,元数据外链；影像逐项核权,待核权,否,用来补一史馆与台北故宫的档案发现,使用许可和访问条件需遵守站方规则,https://newarchive.ihp.sinica.edu.tw/mcttp/,https://newarchive.ihp.sinica.edu.tw/mcttp/rules.htm,2026-08-12,核查目标档件的可见层级与引用格式,RM,已核查
SRC-011,内阁大库档案使用规则,访问与使用规则,A1,系统使用与资料利用边界,线上阅读,红,仅在许可范围内,仅在许可范围内,待许可,否,作为采集流程的强制合规门,不得把研究查询权限解释为批量再利用许可,https://newarchive.ihp.sinica.edu.tw/mcttp/rules.htm,https://newarchive.ihp.sinica.edu.tw/mcttp/rules.htm,2026-08-12,形成内部可做与不可做清单,RM,已核查
SRC-012,中央研究院汉籍电子文献资料库,古籍数字文本,B,清代典籍与检索文本,线上检索；部分内容需账号或机构权限,黄,仅保存必要引文与自建标注,小段引文并链接,待核权,否,作为全文发现入口；再回查具体版本,不同数据库内容与许可不一不可一概复制,https://hanji.ihp.sinica.edu.tw/,https://hanji.ihp.sinica.edu.tw/,2026-08-12,确认《清史稿》等目标版本与利用条款,ME,已核查
SRC-013,中央研究院清代职官资料库与人名权威,人物与职官权威数据,B,清代人名异名与职官线索,线上检索,黄,仅保存匹配 ID 与自建映射,展示自建记录并外链,待核权,否,用于消歧候选；不直接作为史实终审,权威库仍需结合原始材料逐条核验,https://newarchive.ihp.sinica.edu.tw/sncaccgi/sncacFtp,https://www1.ihp.sinica.edu.tw/Bulletin/News/1770/Detail,2026-08-12,为 50 人建立外部标识映射,DA,已核查
SRC-014,中国历代人物传记资料库 CBDB,人物关系与履历聚合数据,B,人物身份关系与任官线索,线上检索与数据下载,红,非商业研究按许可；商业项目不得直接作底库,仅展示自建核验结果,中国大陆商业使用受专属授权限制,否,仅作线索和交叉检查；不用作商业底库,CC BY-NC-SA 与大陆商业专属授权会限制产品化,https://cbdb.hsites.harvard.edu/,https://cbdb.hsites.harvard.edu/exclusive-commercial-license,2026-08-12,由法律顾问确认商业场景边界,RM,已核查
SRC-015,CBDB API,人物结构化接口,B,人物别名关系与任官线索,公开接口,红,仅在许可范围内缓存,仅展示自建核验结果,中国大陆商业项目待授权,否,限 Phase 0 研究性比对；保留来源标识,接口开放不等于数据可无条件商业再发布,https://input.cbdb.fas.harvard.edu/cbdbapi/index.html,https://cbdb.hsites.harvard.edu/exclusive-commercial-license,2026-08-12,做 10 人消歧试验并记录命中误差,DA,待试验
SRC-016,中国历史地理信息系统 CHGIS,历史地名与坐标数据,B,历史地名层级与地理参考,线上检索与数据服务,黄,仅保存自建映射及许可数据,展示自建地点记录并署名外链,待核权,否,用于地点消歧候选和地图定位,必须核查具体数据集许可与时间切片,https://chgis.fas.harvard.edu/,https://chgis.fas.harvard.edu/,2026-08-12,选 10 个地点做消歧与坐标核验,DA,待核查
SRC-017,北京故宫博物院清代帝后世系与人物页,权威馆藏与人物说明,B,帝后人物及相关馆藏线索,线上浏览,黄,仅保存自建元数据与必要引文,外链；图片不在未授权情况下镜像,待授权,否,用于权威馆藏发现与外部链接,网站内容和图片受严格使用条款约束,https://www.dpm.org.cn/court/lineage/226259.html,https://digicol.dpm.org.cn/page/copyright,2026-08-12,列出 Phase 0 所需人物页与馆藏对象,RM,已核查
SRC-018,故宫博物院数字文物库版权声明,权利规则,A1,数字文物图片与网站内容使用边界,线上阅读,红,未经授权否,未经授权否,未经授权否,否,把北京故宫图片默认为禁用直至获书面许可,公开可见不等于可复制传播或商业利用,https://digicol.dpm.org.cn/page/copyright,https://digicol.dpm.org.cn/page/copyright,2026-08-12,将规则写入图像入库门禁,RM,已核查
SRC-019,故宫博物院数字文物库图像使用申请,授权申请入口,A1,馆藏图像授权申请流程,线上申请,黄,获批后按协议,获批后按协议,获批后按协议,否,对高价值核心画像走正式授权,授权范围分辨率期限与媒介需逐项谈定,https://digicol.dpm.org.cn/page/applyimage,https://digicol.dpm.org.cn/page/applyimage,2026-08-12,准备 10 幅核心图像申请清单,RM,待申请
SRC-020,中国哲学书电子化计划《清史稿》,数字古籍文本,C,《清史稿》在线文本与章节链接,线上阅读,黄,只保存必要引文与定位,小段引文并链接,待核权,否,用于快速检索线索；回查可靠底本,数字转录可能有 OCR 或版本差异且不可作为事实终审,https://ctext.org/wiki.pl?if=gb&res=98755,https://ctext.org/,2026-08-12,抽查十段与可核版本差异,ME,已核查
SRC-021,美国大都会艺术博物馆 Open Access,博物馆开放图像,视对象而定,明确标记 Public Domain 的清代艺术品图像与元数据,开放下载与 API,绿,是但限明确标记的公版对象,是,是,按官方开放政策判断,优先用于可合法展示的辅助人物与服饰图像,每件对象须确认 Public Domain 标记不能只看年代,https://www.metmuseum.org/hubs/open-access,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,2026-08-12,检索康熙雍正时期人物与宫廷相关对象,RM,已核查
SRC-022,史密森学会 Open Access,博物馆与档案开放图像,视对象而定,明确标记 CC0 的亚洲艺术与历史资源,开放下载与 API,绿,是但限 CC0 对象,是,是,按 CC0 与对象页标记判断,作为跨馆藏图像补充并保留对象 ID,并非全部史密森资源均为 CC0,https://www.si.edu/openaccess,https://www.si.edu/openaccess,2026-08-12,检索 Phase 0 可用清代相关资源,RM,已核查
SRC-023,美国国会图书馆清代相关馆藏,图书与图像馆藏,视对象而定,清代书籍地图照片与版画目录,线上检索与部分下载,黄,按对象权利声明,按对象权利声明,按对象权利声明,按对象权利声明,只用有明确 Rights and Access 说明的对象,国会图书馆不替所有对象统一保证公版,https://www.loc.gov/item/05033666/,https://www.loc.gov/legal/,2026-08-12,为候选对象保存逐件权利截图与核查日期,RM,待逐件核查
