event_id,person_id,阶段,事件类型,原纪年,公历下界,公历上界,地点,来源单元,引文,回查状态,冲突组 ID,主张 ID,相关人物ID,排序键,备注
QH-HS-0001,QH-P-000004,立储,立储,康熙十四年十二月丙寅,1676-01-27,1676-01-27,,QH-SU-QSG-0006,十二月丙寅，立皇子胤礽為皇太子，頒詔中外，加恩肆赦。,C来源冲突,QH-CF-KX-INVEST-DAY,QH-A-KX-0070,QH-P-000001；QH-P-000004,1676-01-27,本纪丙寅说。列传乙丑见下条。不得写成清朝唯一预立太子的评价句。
QH-HS-0002,QH-P-000004,立储,立储,康熙十四年十二月乙丑,1676-01-26,1676-01-26,,QH-SU-QSG-0220,康熙十四年十二月乙丑，聖祖以太皇太后、皇太后命立為皇太子。,C来源冲突,QH-CF-KX-INVEST-DAY,QH-A-KX-0071,QH-P-000001；QH-P-000004,1676-01-26,列传乙丑说。与本纪丙寅冲突，不择一。
QH-HS-0003,QH-P-000004,初废拘执,宣示罪状拘执,康熙四十七年九月丁丑,1708-10-17,1708-10-17,布尔哈苏台行宫,QH-SU-KX-0234B,命皇太子允礽跪。……著將允礽即行拘執。,E1单源回查,,QH-A-KX-0086,QH-P-000001；QH-P-000004,1708-10-17,实录详于本纪。本纪主张见QH-A-KX-0072。上谕「生而剋母」只记为用语，不得写成已核事实。同日第2/2条允祄薨见QH-HS-0017，不得写成废太子原因。
QH-HS-0004,QH-P-000004,初废颁示,废储颁示,康熙四十七年九月丁酉,1708-11-06,1708-11-06,,QH-SU-KX-0234D,丁酉。以廢皇太子允礽。頒詔天下。,C来源冲突,QH-CF-KX-DEPOSE-YEAR,QH-A-KX-0089,QH-P-000001；QH-P-000004,1708-11-06,实录与本纪均作四十七年九月丁酉颁废。世表四十六年见下条。诏书自述九月十八日告祭，与丁丑拘执、丁酉颁诏不是同一天。诏文「狂易成疾」只记为用语。本纪主张见QH-A-KX-0073。
QH-HS-0005,QH-P-000004,初废颁示,废储颁示,康熙四十六年,1707-02-03,1708-01-22,,QH-SU-QSG-0164,康熙十四年立爲皇太子，四十六年廢，四十八年復立，五十一年復廢。,C来源冲突,QH-CF-KX-DEPOSE-YEAR,QH-A-KX-0074,QH-P-000004,1707-02,世表无干支。与本纪四十七年冲突，年条放在初废段对照，不改写成四十七年。
QH-HS-0006,QH-P-000007,初废连带处分,削爵,康熙四十七年十月甲辰,1708-11-13,1708-11-13,,QH-SU-QSG-0008,冬十月甲辰，削貝勒胤禩爵。,S二手转述,,QH-A-KX-0075,QH-P-000001；QH-P-000007,1708-11-13,独立处分日。不是八爷党事件名。
QH-HS-0007,QH-P-000003,初废连带处分,削爵幽禁,康熙四十七年十一月癸酉朔,1708-12-12,1708-12-12,,QH-SU-QSG-0008,十一月癸酉朔，削直郡王胤禔爵，幽之。,S二手转述,,QH-A-KX-0076,QH-P-000001；QH-P-000003,1708-12-12,本纪未写镇魇。列传魇术另源，不并入。
QH-HS-0008,QH-P-000004,请复立被拒,奏保被杖,康熙四十七年十一月辛巳,1708-12-20,1708-12-20,,QH-SU-QSG-0008,辛巳，副都御史勞之辨奏保廢太子，奪職杖之。,S二手转述,,QH-A-KX-0077,QH-P-000001；QH-P-000004,1708-12-20,请保不是复立。劳之辨未建档。
QH-HS-0009,QH-P-000007,议储不许,议储不许,康熙四十七年十一月丙戌,1708-12-25,1708-12-25,,QH-SU-QSG-0008,丙戌，召集廷臣議建儲貳。阿靈阿、鄂倫岱、揆敘、王鴻緒及諸大臣以皇八子胤禩請，上不可。,S二手转述,,QH-A-KX-0078,QH-P-000001；QH-P-000007；QH-P-000004,1708-12-25,请立与上不可同日。不得标为九子夺嫡。
QH-HS-0010,QH-P-000004,释放,释放,康熙四十七年十一月戊子,1708-12-27,1708-12-27,,QH-SU-QSG-0008,戊子，釋廢太子胤礽。,S二手转述,,QH-A-KX-0079,QH-P-000001；QH-P-000004,1708-12-27,释放不是复立。
QH-HS-0011,QH-P-000004,复立,复立,康熙四十八年三月辛巳,1709-04-19,1709-04-19,,QH-SU-KX-0237A,授皇太子允礽冊寶。復立為皇太子。,E1单源回查,,QH-A-KX-0092,QH-P-000001；QH-P-000004,1709-04-19,实录与本纪均作三月辛巳。当日1/3；2/3、3/3未拆入本条。本纪主张见QH-A-KX-0080。
QH-HS-0012,QH-P-000004,再废锢禁,再废锢禁,康熙五十一年九月庚戌,1712-10-29,1712-10-29,咸安宫,QH-SU-QSG-0008,九月庚戌，上奉皇太后還宮。皇太子胤礽復以罪廢，錮於咸安宮。,C来源冲突,QH-CF-KX-DEPOSE2-MONTH,QH-A-KX-0081,QH-P-000001；QH-P-000004,1712-10-29,本纪九月说。列传十月见下条。地点以本条咸安宫为准。实录再废两条未见咸安宫，最早出处待起居注。
QH-HS-0013,QH-P-000004,再废锢禁,再废锢禁,康熙五十一年十月,1712-10-30,1712-11-27,咸安宫,QH-SU-QSG-0220,五十一年十月，复廢太子，禁錮咸安宮。,C来源冲突,QH-CF-KX-DEPOSE2-MONTH,QH-A-KX-0082,QH-P-000001；QH-P-000004,1712-10,列传十月说。与本纪九月庚戌冲突。
QH-HS-0014,QH-P-000004,再废告庙,告庙,康熙五十一年十一月丁未,1712-12-25,1712-12-25,,QH-SU-QSG-0008,丁未，以復廢皇太子胤礽告廟，宣示天下。,S二手转述,,QH-A-KX-0083,QH-P-000001；QH-P-000004,1712-12-25,告庙不是再废当日。
QH-HS-0015,QH-P-000004,请复立被拒,上书请复立,康熙五十七年二月癸卯,1718-03-25,1718-03-25,行宫,QH-SU-QSG-0008,檢討朱天保上疏請復立胤礽為皇太子，上於行宮親訊之曰：「爾何知而違旨上奏？」朱天保曰：「臣聞之臣父，臣父令臣言之。」上曰：「此不忠不孝之人也。」命誅之。,S二手转述,,QH-A-KX-0084,QH-P-000001；QH-P-000004,1718-03-25,附属事件，不是第四次废立。朱天保未建档。
QH-HS-0016,QH-P-000001,初废驻跸,驻跸,康熙四十七年九月乙亥,1708-10-15,1708-10-15,布尔哈苏台,QH-SU-KX-0234A,是日、上駐蹕布爾哈蘇台。,E1单源回查,,QH-A-KX-0085,QH-P-000001；QH-P-000015,1708-10-15,拘执前两日。同条前有十八阿哥病「諒已無濟」谕，不得写成废太子原因。
QH-HS-0017,QH-P-000015,同日附属,薨逝,康熙四十七年九月丁丑,1708-10-17,1708-10-17,,QH-SU-KX-0234C,皇子允祄薨。,E1单源回查,,QH-A-KX-0088,QH-P-000001；QH-P-000015,1708-10-17b,与拘执同日不同条。不得写成因为允祄死所以废太子。
QH-HS-0018,QH-P-000003,初废连带处分,上谕转述,康熙四十七年九月戊戌,1708-11-07,1708-11-07,,QH-SU-KX-0234E,拘禁允礽時。允禔奏……今欲誅允礽。不必出自皇父之手。,E1单源回查,,QH-A-KX-0091,QH-P-000001；QH-P-000003；QH-P-000004；QH-P-000007,1708-11-07,上谕转述，不是当场对质全文。不得写成八爷党或镇魇已证。削胤禩在十月甲辰，见QH-HS-0006。
QH-HS-0019,QH-P-000004,立储,立储,康熙十四年十二月十三日,1676-01-27,1676-01-27,,QH-SU-KX-0058A,丙寅。上以冊立皇太子、御太和殿。……是日、立皇子允礽、為皇太子。,E1单源回查,QH-CF-KX-INVEST-DAY,QH-A-KX-0121,QH-P-000001；QH-P-000004,1676-01-27b,实录与本纪均作丙寅；列传乙丑独异。实录条未写颁诏肆赦。
QH-HS-0020,QH-P-000004,再废锢禁,宣示罪状拘执,康熙五十一年九月三十日,1712-10-29,1712-10-29,,QH-SU-KX-0251A,諭諸皇子等、皇太子允礽、自復立以來、狂疾未除。……著將允礽拘執看守。朕明日再頒諭旨、示諸王大臣。,E1单源回查,QH-CF-KX-DEPOSE2-MONTH,QH-A-KX-0122,QH-P-000001；QH-P-000004,1712-10-29b,实录再废两日序列第一日。本条只写拘执看守，无废字，无咸安宫。本纪九月庚戌对应本条。
QH-HS-0021,QH-P-000004,再废锢禁,废储颁示,康熙五十一年十月初一日,1712-10-30,1712-10-30,,QH-SU-KX-0251B,御筆硃書諭諸王、貝勒、貝子、大臣等……故將允礽、仍行廢黜禁錮。為此特諭。,E1单源回查,QH-CF-KX-DEPOSE2-MONTH,QH-A-KX-0123,QH-P-000001；QH-P-000004,1712-10-30,实录再废两日序列第二日。废黜见于本条；仍无咸安宫。列传十月对应本条。
QH-HS-0022,QH-P-000004,立储,择吉下谕,康熙十四年六月癸亥,1675-07-28,1675-07-28,,QH-SU-KX-0056A,今以嫡子允礽、為皇太子。爾部詳察應行典禮、選擇吉期具奏,E1单源回查,,QH-A-KX-0124,QH-P-000001；QH-P-000004,1675-07-28,谕礼部择吉，不是册立当日。十二月丙寅典礼见QH-HS-0001/0019。不得写成六月已立。通行六月初三说与本条癸亥不符。
