timeline_id,emperor_id,year,reign_year,event,status,source_refs,claim_ids
TL-NH-001,QH-E-01,1559,,生,S二手索引,IDX-041,
TL-NH-002,QH-E-01,1583,万历十一年,以十三副遗甲起兵,S二手索引,IDX-041,
TL-NH-003,QH-E-01,1599,万历二十七年,创制满文（额尔德尼、噶盖改制）,S二手索引,IDX-041,
TL-NH-004,QH-E-01,1616,天命元年,称汗，国号后金（非皇帝）,S二手索引,IDX-041,
TL-NH-005,QH-E-01,1618,天命三年,以「七大恨」誓师伐明,S二手索引,IDX-041,
TL-NH-006,QH-E-01,1619,天命四年,萨尔浒之战,S二手索引,IDX-041,
TL-NH-007,QH-E-01,1621,天命六年,迁都辽阳,S二手索引,IDX-041,
TL-NH-008,QH-E-01,1625,天命十年,迁都沈阳,S二手索引,IDX-041,
TL-NH-009,QH-E-01,1626,天命十一年,宁远之战受挫；八月崩,S二手索引,IDX-041,
TL-HT-001,QH-E-02,1592,,生,S二手索引,IDX-042,
TL-HT-002,QH-E-02,1626,天命十一年,继汗位，年号天聪,S二手索引,IDX-042,
TL-HT-003,QH-E-02,1632,天聪六年,满文加圈点,S二手索引,IDX-042,
TL-HT-004,QH-E-02,1635,天聪九年,改族称「女真」为「满洲」,S二手索引,IDX-042,
TL-HT-005,QH-E-02,1636,崇德元年,称帝，改国号大清,S二手索引,IDX-042,
TL-HT-006,QH-E-02,1636,崇德元年,建六部、内三院,S二手索引,IDX-042,
TL-HT-007,QH-E-02,1636,崇德元—二年,两征朝鲜,S二手索引,IDX-042,
TL-HT-008,QH-E-02,1641,崇德六—七年,松锦之战,S二手索引,IDX-042,
TL-HT-009,QH-E-02,1643,崇德八年,崩,S二手索引,IDX-042,
TL-SZ-001,QH-E-03,1638,,生,S二手索引,IDX-043,
TL-SZ-002,QH-E-03,1643,崇德八年,六岁即位,S二手索引,IDX-043,
TL-SZ-003,QH-E-03,1644,顺治元年,入关，迁都北京,S二手索引,IDX-043,
TL-SZ-004,QH-E-03,1644,顺治元—七年,多尔衮摄政,S二手索引,IDX-043,
TL-SZ-005,QH-E-03,1651,顺治八年,亲政，追罪多尔衮,S二手索引,IDX-043,
TL-SZ-006,QH-E-03,1644,顺治初年,剃发、圈地、逃人法推行,S二手索引,IDX-043,
TL-SZ-007,QH-E-03,1661,顺治十八年,崩（出家说存疑，不作事实）,S二手索引,IDX-043,
TL-KX-001,QH-E-04,1654,,生,S二手索引,IDX-044,
TL-KX-002,QH-E-04,1661,顺治十八年,即位,E1单源回查,IDX-017,QH-A-KX-0001
TL-KX-003,QH-E-04,1662,康熙元年,改元,E1单源回查,IDX-017,QH-A-KX-0014
TL-KX-004,QH-E-04,1669,康熙八年,智擒鳌拜,S二手索引,IDX-044,
TL-KX-005,QH-E-04,1673,康熙十二—二十年,平定三藩,S二手索引,IDX-044,
TL-KX-006,QH-E-04,1683,康熙二十二年,收台湾,S二手索引,IDX-044,
TL-KX-007,QH-E-04,1689,康熙二十八年,尼布楚条约,S二手索引,IDX-044,
TL-KX-008,QH-E-04,1690,康熙二十九—三十六年,三征噶尔丹,S二手索引,IDX-044,
TL-KX-009,QH-E-04,1708,康熙四十七年,一废太子,E1单源回查,IDX-020；IDX-021,QH-A-KX-0086；QH-A-KX-0089
TL-KX-010,QH-E-04,1709,康熙四十八年,复立太子,E1单源回查,IDX-022,QH-A-KX-0092
TL-KX-011,QH-E-04,1712,康熙五十一年,再废太子,E1单源回查,IDX-044,QH-A-KX-0122；QH-A-KX-0123
TL-KX-012,QH-E-04,1722,康熙六十一年,崩,E1单源回查,IDX-019,QH-A-KX-0037
TL-YZ-001,QH-E-05,1678,,生,S二手索引,IDX-045,
TL-YZ-002,QH-E-05,1722,康熙六十一年,即位,E1单源回查,IDX-023,QH-A-YZ-0039
TL-YZ-003,QH-E-05,1723,雍正元年,改元；秘密建储,E1单源回查,IDX-023,QH-A-YZ-0040；QH-A-YZ-0014
TL-YZ-004,QH-E-05,1723,雍正朝,摊丁入亩、耗羡归公、改土归流,S二手索引,IDX-045,
TL-YZ-005,QH-E-05,1729,雍正七年,设军机处（军机房）,S二手索引,IDX-045,
TL-YZ-006,QH-E-05,1735,雍正十三年,崩（丹药说见对照栏，非事实）,E1单源回查,IDX-023,QH-A-YZ-0041
TL-QL-001,QH-E-06,1711,,生,S二手索引,IDX-046,
TL-QL-002,QH-E-06,1735,雍正十三年,即位,S二手索引,IDX-046,
TL-QL-003,QH-E-06,1736,乾隆元年,改元,S二手索引,IDX-046,
TL-QL-004,QH-E-06,1755,乾隆二十—二十四年,平准噶尔、天山南路,S二手索引,IDX-046,
TL-QL-005,QH-E-06,1773,乾隆三十八—四十七年,编《四库全书》,S二手索引,IDX-046,
TL-QL-006,QH-E-06,1793,乾隆五十八年,马戛尔尼使团,S二手索引,IDX-046,
