visual_id,emperor_id,人物,对象标题,图像性质,制作年代或摄影日期,作者或摄影者,文件页,预览文件,文件页标示许可,权利颜色,可本地保存,可公开展示,对象认定状态,核查日期,使用说明,待核问题,展示角色,关键标注,画面解析,释文,卡片钩子,馆藏登录号
QH-V-E01,QH-E-01,爱新觉罗·努尔哈赤,清太祖天命皇帝朝服像,历史宫廷朝服像,17世纪或稍后追绘,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%A4%AA%E7%A5%96%E5%A4%A9%E5%91%BD%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%A4%AA%E7%A5%96%E5%A4%A9%E5%91%BD%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%A4%AA%E7%A5%96%E5%A4%A9%E5%91%BD%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。入关前汗像按清宫朝服像程式追绘，不能直接当成生前写真。,核原作馆藏号、绘制年代与是否后世追称皇帝后补绘,默认朝服像,明黄龙袍；冬朝冠；宝座坐像；清宫朝服像程式,这是清宫标准朝服正像：身着明黄龙袍、戴朝冠、坐于宝座。努尔哈赤生前是后金汗，此像用入关后皇帝朝服程式，更可能是后来为太庙/寿皇殿系统补绘的礼仪御容，不是战场或盛京时期的写生。,,起兵时，身边只有十三副甲。,
QH-V-E02,QH-E-02,爱新觉罗·皇太极,清太宗崇德皇帝朝服像,历史宫廷朝服像,17世纪或稍后追绘,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%A4%AA%E5%AE%97%E5%B4%87%E5%BE%B7%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%A4%AA%E5%AE%97%E5%B4%87%E5%BE%B7%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%A4%AA%E5%AE%97%E5%B4%87%E5%BE%B7%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。汗位在1626，称帝在1636，不是一次即位。,核原作馆藏、绘制时间及与天聪汗像的关系,默认朝服像,明黄龙袍；冬朝冠；宝座坐像；崇德帝身份,皇太极先当了十年汗，年号天聪。1636年称帝，改国号大清，年号崇德。这张像穿明黄龙袍、坐宝座，是称帝以后的样子，不是天聪年间当汗的装束。,,「大清」这个国号，是他称帝以后才有的。,
QH-V-E03,QH-E-03,爱新觉罗·福临,清世祖顺治皇帝朝服像,历史宫廷朝服像,17世纪,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E4%B8%96%E7%A5%96%E9%A1%BA%E6%B2%BB%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E4%B8%96%E7%A5%96%E9%A1%BA%E6%B2%BB%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E4%B8%96%E7%A5%96%E9%A1%BA%E6%B2%BB%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。朝服正像用于身份识别，不证明出家说或其他私生活叙事。,核原作馆藏号、版本关系及是否为成年御容,默认朝服像,明黄龙袍；冬朝冠；宝座坐像；入关后皇帝朝服,顺治朝服像已是入关后北京宫廷的标准御容：明黄、龙纹、朝冠、坐像。它记录的是皇帝礼仪身份，不能用来证明或否定出家传闻；幼年即位与成年朝服像之间还有年龄差，须另核绘制阶段。,,进北京那年，管事的是多尔衮。,
QH-V-E04,QH-E-04,爱新觉罗·玄烨,清圣祖康熙皇帝朝服像,历史宫廷朝服像,康熙晚期,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%9C%A3%E7%A5%96%E5%BA%B7%E7%86%99%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%9C%A3%E7%A5%96%E5%BA%B7%E7%86%99%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%9C%A3%E7%A5%96%E5%BA%B7%E7%86%99%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确；故宫数字文物库有对应对象页,2026-08-13,十二帝网格与康熙人物页默认图。便服写字像另见 QH-V-E04B。,核原作当前馆藏号、尺寸及是否为寿皇殿系统正本,默认朝服像,明黄龙袍；冬朝冠缀东珠；宝座；屏风；成年御容,康熙朝服像是清宫最典型的皇帝定妆程式：正面坐像、明黄龙袍、朝冠、宝座与屏风。它用于宗庙和宫廷识别，表现的是稳定的皇帝身份，不是某一日的生活场景。与便服写字像对照，可见同一人被画成两种功能完全不同的视觉对象。,,死在畅春园。园子现在没了。,故宫博物院 故00006396（Commons 文件页著录，2026-08-14 核验）
QH-V-E04B,QH-E-04,爱新觉罗·玄烨,康熙帝便服写字像,历史宫廷便服像,康熙时期（1662—1722）,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:Portrait_of_the_Kangxi_Emperor_in_Informal_Dress_Holding_a_Brush.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Portrait_of_the_Kangxi_Emperor_in_Informal_Dress_Holding_a_Brush.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,其他真迹。不替代朝服正像作为默认识别图。,核原作馆藏、画面制作阶段与是否为如意馆稿本,其他真迹,便服；手持毛笔；书案；非朝会场合,此像把皇帝画成读书写字的文人姿态，衣色不是朝会所用明黄龙袍。它有助于理解宫廷对‘勤学’的自我塑造，但不能当作朝服定妆，也不能单独证明某次具体批阅事件。与朝服像并列时，应标为便服像/行乐或书斋像。,,,
QH-V-E05,QH-E-05,爱新觉罗·胤禛,清世宗雍正皇帝朝服像轴,历史宫廷朝服像,雍正时期（1723—1735）,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E9%9B%8D%E6%AD%A3%E6%9C%9D%E6%9C%8D%E5%83%8F%E8%BD%B4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/%E9%9B%8D%E6%AD%A3%E6%9C%9D%E6%9C%8D%E5%83%8F%E8%BD%B4.jpg/500px-%E9%9B%8D%E6%AD%A3%E6%9C%9D%E6%9C%8D%E5%83%8F%E8%BD%B4.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。角色扮演图册另见 QH-V-E05B。,核立像与坐像版本关系、原作尺寸和馆藏号,默认朝服像,明黄龙袍；朝冠；立像轴；清宫御容,雍正朝服像轴仍用明黄龙袍与朝冠，是礼仪性御容。雍正另有大量道装、洋装、行猎等‘扮装’图，那些是宫廷趣味与自我形象实验，不得与朝服定妆混为一类。默认展示必须用朝服像，扮装图只作为其他真迹进入。,,灯下批折，写到二更。,故宫博物院 故00006431；dpm.org.cn/collection/paint/231803.html（Commons 文件页著录，2026-08-14 核验）
QH-V-E05B,QH-E-05,爱新觉罗·胤禛,雍正帝道装像（扮装图册之一）,历史宫廷角色扮演图,1723—1735,佚名,https://commons.wikimedia.org/wiki/File:Album_of_the_Yongzheng_Emperor_in_Costumes.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Album_of_the_Yongzheng_Emperor_in_Costumes.jpg,Public domain,绿,是,是,文件题名明确为图册中的一开,2026-08-13,其他真迹。不是标准御容，禁止作为十二帝默认头像。,需拆分图册各开、逐图情境和原题,其他真迹,道装；扮装；非朝服；图册单开,此开把雍正画成道士装束，属于《雍正行乐图》类扮装传统。它证明宫廷允许皇帝以戏装、道装、洋装入画，但不能代表朝会身份，也不能用来说明雍正‘崇道’到何种制度程度。人物认定以图册题名为准，具体开页原题仍待核。,,,
QH-V-E06,QH-E-06,爱新觉罗·弘历,清高宗乾隆帝朝服像,历史宫廷朝服像,1736,郎世宁,https://commons.wikimedia.org/wiki/File:%E6%B8%85%E9%AB%98%E5%AE%97%E4%B9%BE%E9%9A%86%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%E6%B8%85%E9%AB%98%E5%AE%97%E4%B9%BE%E9%9A%86%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F.jpg/500px-%E6%B8%85%E9%AB%98%E5%AE%97%E4%B9%BE%E9%9A%86%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F.jpg,Public domain,绿,是,是,文件题名明确；Commons 标郎世宁、1736、故宫藏,2026-08-13,十二帝网格默认图。全身朝服坐像，脚在踏凳上。英文文件名那张是晚年近景，源图无下半身，另见 QH-V-E06K。,故宫馆藏号；与《清人画弘历朝服像轴》是否同一件。不用故宫数字文物库原图。,默认朝服像,明黄龙袍；十二章纹样；冬朝冠；宝座坐像；脚踏；地毯；郎世宁画风,这是清宫标准朝服正像的全身轴：明黄龙袍、朝冠、宝座、脚踏和地毯。脸部体积来自郎世宁系统，仍是礼仪绘画，不是照片。文件页题 1736 年，画的是即位之初的年轻容貌，不能当成一生所有年龄段。原先网格用的英文文件名是另一张晚年近景，腰以下被裁掉了。,,禅了位，还管了三年。,
QH-V-E07,QH-E-07,爱新觉罗·颙琰,清仁宗嘉庆皇帝朝服像,历史宫廷朝服像,19世纪,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E4%BB%81%E5%AE%97%E5%98%89%E5%BA%86%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E4%BB%81%E5%AE%97%E5%98%89%E5%BA%86%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E4%BB%81%E5%AE%97%E5%98%89%E5%BA%86%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。1796—1799训政期的权力状态不能从此像读出。,文件页年代著录宽泛；需核原作馆藏号与绘制年份,默认朝服像,明黄龙袍；冬朝冠；宝座坐像,嘉庆朝服像沿用乾隆以后的皇帝正像程式。画面只说明‘这是皇帝的礼仪形象’，读不出太上皇训政、诛和珅或天理教攻宫。年代若只写十九世纪，则连在位早年或晚年都无法从图像本身判定。,,和珅是登基第四年才抓的。,
QH-V-E08,QH-E-08,爱新觉罗·旻宁,清宣宗道光皇帝朝服像,历史宫廷朝服像,清代,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%AE%A3%E5%AE%97%E9%81%93%E5%85%89%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%AE%A3%E5%AE%97%E9%81%93%E5%85%89%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E5%AE%A3%E5%AE%97%E9%81%93%E5%85%89%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。园居行乐图另见 QH-V-E08B。,核原作馆藏号、绘制年代与绵宁避讳改旻宁后的题名,默认朝服像,明黄龙袍；冬朝冠；宝座坐像,道光朝服像是标准皇帝定妆：明黄、龙纹、朝冠、坐像。园居便服像表现的是另一套宫廷生活视觉，二者不可互换。朝服像也不能用来讲述禁烟或鸦片战争；那些事件需要档案与实录，不在这张礼仪画像里。,,割香港岛的字，签在南京江面的船上。,
