Assertion ID,主张类型,主体 ID,谓词/关系,客体 ID 或值,原始时间表达,公历下界,公历上界,确定性,状态,来源实体 ID,卷页/档号/图像定位,支持引文,证据立场,证据直接性,证据强度,来源家族 ID,冲突组 ID,获取方式,录入人,复核人,编辑备注
QH-A-KX-0001,事件发生,QH-P-000001,accession_occurred,即皇帝位,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；顺治十八年正月初九日；1/3,上即皇帝位,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,只证明该实录版本的即位记录；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0002,文字或数值陈述,QH-P-000001,ritual_self_designation,皇太子臣玄烨,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；祭告昊天祝文,皇太子臣玄燁,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,记录祝文中的当时自称；不是永久称号；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0003,文字或数值陈述,QH-P-000001,accession_justification,恪遵遗诏并俯徇舆情,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；祭告昊天祝文,臣恪遵遺詔,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,这是即位文本的制度性自述；遗诏原件和形成过程另建证据；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0004,事件参与,QH-P-000001,delegated_heaven_announcement,穆琛祭告昊天上帝,顺治十八年正月初九日黎明,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,穆琛祭告昊天上帝,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,穆琛尚未建立稳定人物ID；暂存字面值；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0005,事件参与,QH-P-000001,delegated_earth_announcement,济世哈告地祇,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,濟世哈告地祇,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,济世哈尚未建立稳定人物ID；暂存字面值；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0006,事件参与,QH-P-000001,delegated_ancestral_temple_announcement,穆里玛告太庙,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,穆里瑪告太廟,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,穆里玛尚未建立稳定人物ID；暂存字面值；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0007,事件参与,QH-P-000001,delegated_altars_announcement,明安达礼告社稷,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,明安達禮告社稷,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,明安达礼尚未建立稳定人物ID；暂存字面值；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0008,事件发生,QH-P-000001,performed_mourning_ritual,在大行皇帝几筵前行三跪九叩礼,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,行三跪九叩禮,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,礼仪动作与政治继承事件分层保存；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0009,事件发生,QH-P-000001,paid_respects_to_empress_dowager,赴皇太后宫行礼,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,詣皇太后宮行禮,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,该条本身未在此处展开皇太后具体人物认定；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0010,事件发生,QH-P-000001,ascended_throne_at,太和殿,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,御太和殿陞寶座,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,地点实体和建筑沿革待另建；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0011,文字或数值陈述,QH-P-000001,ceremonial_music_status,中和乐设置但不演奏,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,中和樂設而不作,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,与服丧情境相关；解释需礼制来源；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0012,事件发生,QH-P-000001,waived_congratulatory_memorial,免宣贺表,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,上命免宣賀表,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,不推定免除原因；只记录命令；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0013,事件发生,QH-P-000001,issued_general_amnesty,颁诏大赦,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,审核中,QH-SU-KX-0001,卷1；即位礼仪段,頒詔大赦,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,赦免具体范围需继续拆解诏文；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0014,称号授予,QH-P-000001,announced_next_reign_era,明年为康熙元年,顺治十八年正月初九日,1661-02-07,1661-02-07,确定,已采纳,QH-SU-KX-0001,卷1；即位诏,以明年為康熙元年,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,zonglinxie-cyber,证明即位发生于顺治十八年而康熙纪年自下一年起；两种年份口径不可混写；公历日级对照为1661-02-07；韩国页面仅标1661年；换算依通行年表，待独立历法库复核
QH-A-KX-0015,文字或数值陈述,QH-P-000001,testament_self_reported_reign_length,六十一年,康熙六十一年十一月十三日,1722-12-20,1722-12-20,确定,审核中,QH-SU-KX-0300,卷300；遗诏开篇,在位六十一年,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,证明遗诏文本如此自述；不是现代公历时长计算；公历日级对照为1722-12-20；韩国页面仅标1722年；换算依通行年表，待独立历法库复核
QH-A-KX-0016,文字或数值陈述,QH-P-000001,testament_self_reported_age,年届七旬,康熙六十一年十一月十三日,1722-12-20,1722-12-20,确定,审核中,QH-SU-KX-0300,卷300；遗诏开篇,今朕年屆七旬,支持,明确记载,强,QH-SF-QSL-KX,,结构化导入,AI,,中国传统年龄口径待结合生辰另核；公历日级对照为1722-12-20；韩国页面仅标1722年；换算依通行年表，待独立历法库复核
