source_unit_id,source_entity_id,史料名,卷次,原纪年,网页公历标示,当日条次,直接记录网址,数字底本说明,证据等级,权利策略,核查日期,说明
QH-SU-NH-QSG-0001A,SRC-025,清史稿,卷1,明万历十一年癸未,1583,本纪条,https://zh.wikisource.org/wiki/清史稿/卷1,维基文库《清史稿》卷1太祖本纪。后出本纪，不作终审。前三朝实录经改写，本条不能顶实录。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,太祖既归有甲十三；是岁癸未起兵。不得把十三副遗甲写成已核件数或起兵神话。
QH-SU-NH-QSG-0001B,SRC-025,清史稿,卷1,天命元年正月壬申朔,1616,本纪条,https://zh.wikisource.org/wiki/清史稿/卷1,维基文库《清史稿》卷1太祖本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,即位建元天命，定国号曰金。不得写成大清，也不得写成已经称帝。
QH-SU-NH-QSG-0001C,SRC-025,清史稿,卷1,天命三年二月壬寅,1618,本纪条,https://zh.wikisource.org/wiki/清史稿/卷1,维基文库《清史稿》卷1太祖本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,伐明以七大恨告天。本条不录七条全文；条数与措辞各本差异另层。
QH-SU-HT-QSG-0002A,SRC-025,清史稿,卷2,天命十一年九月庚午朔,1626,本纪条,https://zh.wikisource.org/wiki/清史稿/卷2,维基文库《清史稿》卷2太宗本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,即位于沈阳，诏以明年为天聪元年。这是继汗位，不是称帝。
QH-SU-HT-QSG-0003A,SRC-025,清史稿,卷3,崇德元年四月乙酉,1636,本纪条,https://zh.wikisource.org/wiki/清史稿/卷3,维基文库《清史稿》卷3太宗本纪二。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,祭告天地行受尊号礼，定有天下之号曰大清，改元崇德。汗位与帝位分年。
QH-SU-SZ-QSG-0004A,SRC-025,清史稿,卷4,崇德八年八月丁亥,1643,本纪条,https://zh.wikisource.org/wiki/清史稿/卷4,维基文库《清史稿》卷4世祖本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,即皇帝位于笃恭殿，诏以明年为顺治元年。盛京即位，不是入北京。
QH-SU-SZ-QSG-0004B,SRC-025,清史稿,卷4,顺治元年四月己卯,1644,本纪条,https://zh.wikisource.org/wiki/清史稿/卷4,维基文库《清史稿》卷4世祖本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,师至山海关，三桂开关出迎，大军入关。本纪写的是多尔衮军，不是幼帝亲征。
QH-SU-SZ-QSG-0004C,SRC-025,清史稿,卷4,顺治元年十月乙卯朔,1644,本纪条,https://zh.wikisource.org/wiki/清史稿/卷4,维基文库《清史稿》卷4世祖本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,定鼎燕京，仍建有天下之号曰大清，纪元顺治。盛京即位、入关、北京登极分三层。
QH-SU-DG-QSG-0017A,SRC-025,清史稿,卷17,嘉庆二十五年八月庚戌,1820,本纪条,https://zh.wikisource.org/wiki/清史稿/卷17,维基文库《清史稿》卷17宣宗本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,即皇帝位于太和殿，以明年为道光元年。不得把绵宁改旻宁写成这一句。
QH-SU-DG-QSG-0019A,SRC-025,清史稿,卷19,道光二十二年七月,1842,本纪条,https://zh.wikisource.org/wiki/清史稿/卷19,维基文库《清史稿》卷19宣宗本纪三。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,英船寇江宁；命议款；耆英请定约钤御宝。本条不代替条约原件，也不写静海寺议约已核。
QH-SU-XF-QSG-0020A,SRC-025,清史稿,卷20,咸丰十年八月己巳至丁丑,1860,本纪条,https://zh.wikisource.org/wiki/清史稿/卷20,维基文库《清史稿》卷20文宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,上幸木兰，自圆明园启銮；丁丑驻跸避暑山庄。本纪用「幸木兰」，不得改写成北狩或逃离。
QH-SU-TZ-QSG-0021A,SRC-025,清史稿,卷21,咸丰十一年七月至十月,1861,本纪条,https://zh.wikisource.org/wiki/清史稿/卷21,维基文库《清史稿》卷21穆宗本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,七月定年号祺祥；十月甲子御太和殿即皇帝位，以明年为同治元年。祺祥只拟用，不是正式纪年。
QH-SU-GX-QSG-0023A,SRC-025,清史稿,卷23,同治十三年十二月癸酉,1875,本纪条,https://zh.wikisource.org/wiki/清史稿/卷23,维基文库《清史稿》卷23德宗本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,懿旨以上继文宗为子，入承大统，为嗣皇帝。俟嗣皇帝有子即承继大行皇帝。不得写成过继给同治。
QH-SU-XT-QSG-0025A,SRC-025,清史稿,卷25,宣统三年十二月戊午,1912,本纪条,https://zh.wikisource.org/wiki/清史稿/卷25,维基文库《清史稿》卷25宣统皇帝本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,特率皇帝将统治权公诸全国；即由袁世凯以全权组织临时共和政府。本纪收束作「遂逊位」。不得写成宣统本人决策，也不得把伪满续上。
