source_unit_id,source_entity_id,史料名,卷次,原纪年,网页公历标示,当日条次,直接记录网址,数字底本说明,证据等级,权利策略,核查日期,说明
QH-SU-KX-0001,SRC-027,圣祖仁皇帝实录,卷1,顺治十八年正月初九日,1661,1/3,https://sillok.history.go.kr/mc/id/qsilok_005_0010_0010_0010_0030_0010,卷1属于中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-12,即位礼与宣布次年为康熙元年的同日记录
QH-SU-KX-0300A,SRC-027,圣祖仁皇帝实录,卷300,康熙六十一年十一月十三日,1722,1/2,https://sillok.history.go.kr/mc/id/qsilok_005_3000_0010_0010_0110_0010,卷300属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,崩逝过程与御榻口谕。本条只写寝宫，未写畅春园或清溪书屋。口谕与同日第2/2条遗诏文本分层保存。页面仅标公历年1722。
QH-SU-KX-0300,SRC-027,圣祖仁皇帝实录,卷300,康熙六十一年十一月十三日,1722,2/2,https://sillok.history.go.kr/mc/id/qsilok_005_3000_0010_0010_0110_0020,卷300属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-12,遗诏文本；文本存在不等于遗诏形成与传达争议已解决
QH-SU-QSG-0214,SRC-025,清史稿,卷214,圣祖四后列传,,孝诚至孝恭四传,https://zh.wikisource.org/wiki/清史稿/卷214,维基文库《清史稿》卷214后妃传。后出纪传体，可与本纪矛盾，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-13,圣祖孝诚、孝昭、孝懿、孝恭。身份须按时态称号记录，不得只用最终谥号。玉牒原件未见。
QH-SU-QSG-0006,SRC-025,清史稿,卷6,康熙四年至二十年相关条,,本纪多日,https://zh.wikisource.org/wiki/清史稿/卷6,维基文库《清史稿》卷6圣祖本纪一。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-13,已核：四年九月辛卯册赫舍里氏；十三年五月丙寅胤礽生、皇后崩；十四年十二月丙寅立胤礽为皇太子；十六年八月丙寅册钮祜禄氏后、佟佳氏贵妃；十七年二月丁卯孝昭崩；二十年三月辛酉葬仁孝、孝昭于昌瑞山。立太子日与列传乙丑冲突。
QH-SU-QSG-0007,SRC-025,清史稿,卷7,康熙二十八年七月,1689,本纪条,https://zh.wikisource.org/wiki/清史稿/卷7,维基文库《清史稿》卷7圣祖本纪二。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-13,二十八年秋七月癸卯册立贵妃佟氏为皇后；甲辰皇后崩，谥曰孝懿。
QH-SU-QSG-0009,SRC-025,清史稿,卷9,雍正元年五月辛丑,1723,本纪条,https://zh.wikisource.org/wiki/清史稿/卷9,维基文库《清史稿》卷9世宗本纪。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-13,辛丑，仁寿皇太后崩，帝之生母也。徽号是否已上册，与后妃传「未上册」冲突。
QH-SU-KX-0048,SRC-002,圣祖仁皇帝实录,卷48,康熙十三年六月,1674,册谥诏,https://ctext.org/wiki.pl?if=gb&chapter=693352,本次打开的是 ctext 对《圣祖实录》卷48的转录，不是韩国站条次级页面；待回一史馆检索或韩国站核原本图像。,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,庚申册谥册文称何舍里氏作朕元配、谥仁孝皇后。辛酉颁诏：五月初三日崩逝；六月二十七日册谥为仁孝皇后礼成。
QH-SU-QSG-0164,SRC-025,清史稿,卷164,皇子世表四圣祖系,,圣祖系全表,https://zh.wikisource.org/wiki/清史稿/卷164,维基文库《清史稿》卷164皇子世表四。后出表，不作玉牒替代，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-13,圣祖系入序第一至第二十四子，缺第四子行；卷末另列早薨未入序诸子。第四子即后来世宗，子孙见卷165，不能读成康熙无第四子。胤礽行作十四年立太子、四十六年废，与本纪八四十七年废冲突。
QH-SU-QSG-0008,SRC-025,清史稿,卷8,康熙四十七年至五十七年储位相关条,,本纪多日,https://zh.wikisource.org/wiki/清史稿/卷8,维基文库《清史稿》卷8圣祖本纪三。后出本纪，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-13,已核：四十七年九月丁丑拘执、丁酉颁废；十一月削胤禔、议储请胤禩不许、戊子释废太子；四十八年三月辛巳复立；五十一年九月庚戌再废锢咸安宫、十一月丁未告庙；五十七年二月癸卯朱天保请复立被诛。不得据此把崩逝改写成畅春园。
QH-SU-QSG-0220,SRC-025,清史稿,卷220,理密亲王允礽传,,列传,https://zh.wikisource.org/wiki/清史稿/卷220,维基文库《清史稿》卷220诸王传。后出列传，可与本纪矛盾，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-13,理密亲王允礽：十四年十二月乙丑立为皇太子；四十七年九月废；四十八年三月辛巳复立；五十一年十月复废锢咸安宫。立储日、再废月份与本纪冲突。罪状、狂易、魇魅均为上谕/传文用词，不得写成已核诊断。
